,TCGA-A1-A0SK,TCGA-A1-A0SO,TCGA-A2-A04P,TCGA-A2-A04Q,TCGA-A2-A04T,TCGA-A2-A04U,TCGA-A2-A0CM,TCGA-A2-A0D0,TCGA-A2-A0D2,TCGA-A2-A0ST,TCGA-A2-A0SX,TCGA-A2-A0T0,TCGA-A2-A0T2,TCGA-A2-A0YE,TCGA-A2-A0YJ,TCGA-A2-A0YM,TCGA-A7-A0CE,TCGA-A7-A0DA,TCGA-A7-A13D,TCGA-A7-A13E,TCGA-A8-A07C,TCGA-A8-A07O,TCGA-A8-A07R,TCGA-A8-A07U,TCGA-A8-A08H,TCGA-A8-A08R,TCGA-AN-A04D,TCGA-AN-A0AL,TCGA-AN-A0AR,TCGA-AN-A0AT,TCGA-AN-A0FJ,TCGA-AN-A0FL,TCGA-AN-A0FX,TCGA-AN-A0G0,TCGA-AN-A0XU,TCGA-AO-A0J4,TCGA-AO-A0J6,TCGA-AO-A0JL,TCGA-AO-A124,TCGA-AO-A128,TCGA-AO-A129,TCGA-AO-A12F,TCGA-AQ-A04J,TCGA-AR-A0TP,TCGA-AR-A0TS,TCGA-AR-A0TU,TCGA-AR-A0U0,TCGA-AR-A0U4,TCGA-AR-A1AH,TCGA-AR-A1AI,TCGA-AR-A1AJ,TCGA-AR-A1AQ,TCGA-AR-A1AR,TCGA-AR-A1AY,TCGA-B6-A0I2,TCGA-B6-A0I6,TCGA-B6-A0IJ,TCGA-B6-A0IQ,TCGA-B6-A0RE,TCGA-B6-A0RT,TCGA-B6-A0RU,TCGA-B6-A0WX,TCGA-B6-A0X1,TCGA-BH-A0AV,TCGA-BH-A0B3,TCGA-BH-A0B9,TCGA-BH-A0BG,TCGA-BH-A0BL,TCGA-BH-A0BW,TCGA-BH-A0DL,TCGA-BH-A0E0,TCGA-BH-A0E6,TCGA-BH-A0RX,TCGA-BH-A0WA,TCGA-BH-A18G,TCGA-BH-A18K,TCGA-BH-A18Q,TCGA-BH-A18V,TCGA-BH-A1F0,TCGA-C8-A12K,TCGA-C8-A12V,TCGA-C8-A131,TCGA-C8-A134,TCGA-D8-A142,TCGA-D8-A143,TCGA-D8-A147,TCGA-E2-A14N,TCGA-E2-A14R,TCGA-E2-A14X,TCGA-E2-A14Y,TCGA-E2-A150,TCGA-E2-A158,TCGA-E2-A159,TCGA-E2-A1AZ,TCGA-E2-A1B5
CD82,-0.34225,1.2055,2.2975,2.31725,1.49825,2.0935,0.6995,1.112,1.97425,2.752,2.1995,1.86875,2.93975,1.0315,1.5445,1.70775,1.0015,1.77775,1.36725,1.023,1.83125,1.42025,2.00325,2.3225,1.5235,1.5985,1.9975,2.95425,1.14,0.53775,1.18875,2.50025,0.32125,1.157,0.78475,1.148,2.67525,0.79525,2.1319999999999997,2.28975,1.50375,0.1615,2.7439999999999998,1.97175,2.2115,-0.03275,1.97,2.0855,1.663,2.15975,1.92975,1.8545,1.764,-0.005,2.21825,1.73175,0.9990000000000001,1.3755,1.5585,1.6805,1.50125,2.35575,2.48325,1.79075,1.78925,1.73025,1.06675,1.36275,1.86575,3.0495,1.85975,1.4365,1.5405,1.65825,2.0515,0.163,1.9775,2.49825,2.4659999999999997,1.19175,1.48925,1.64075,2.19375,1.80975,1.4655,1.19575,0.50175,1.62275,2.2345,1.828,2.54675,0.5165,1.82075,1.78975,1.08425
RICTOR,-0.634,-1.1967,-1.1571,-0.6567,-1.1449,-2.2222,-1.3085,-0.4931,-1.4385,-0.0485,-0.5265,-1.8264,-1.3636,-0.8981,-1.374,-1.3459,-1.3455,-0.2996,-0.7726,-0.2425,-0.7671,-0.6752,-1.5372,-0.27699999999999997,-0.9509,-0.9294,-1.4059,-1.7183,-1.431,-1.8775,-0.5147,-1.5627,-0.2372,-1.4034,-0.7805,-1.3239,-1.0195,-0.8985,-0.6281,-0.7309,-0.8421,-1.1773,-0.7664,-1.0395,-0.7178,-0.9781,-1.1127,-1.0696,-1.2872222222,-0.7685,-0.4563,-1.5668,-1.3165,-0.44311111111111107,-0.7989,-1.3090000000000002,-0.7864,-0.4031,-0.5885,-0.4052,-1.294,-0.4201,-0.6037,-0.8804,-1.5825,-0.5429,-1.0051,-0.7534,-0.6571,-1.307,-1.63155555555556,-1.7252,-1.1441,-1.4421,-1.6928,-1.7965,-0.4201,-1.3358,-0.3563,-1.3119,-0.6357,-0.0428,-1.5362,-0.5646,-1.6969,-1.1487,-1.49277777777778,-1.0274,-0.9985,-1.1674,-0.8811,-0.4199,-2.1826,-0.6863,-1.0361
POLD2,-0.6755,0.126,-1.602333,-1.18083333333333,-0.4358333,-1.630167,-1.040667,-0.0655,-1.024667,-0.7241666666666671,-1.24983333333333,-0.6976666667,-0.914,-0.22983330000000002,0.0245,-0.1751667,-0.7490000000000001,-0.789,-0.22366666666666699,-0.27766666666666695,-1.4685,-0.5670000000000001,-1.0605,-0.5075,-1.75666666666667,-1.325667,-1.1251666667,-1.2885,-0.1658333333,0.2633333,-0.596666666666667,-1.535167,-0.9973333000000001,-0.3828333333333329,-0.4956667,-0.964333333,-0.5405,-1.52583333333333,0.19566670000000003,-0.49,-0.6506666999999999,-0.777,-0.47533329999999996,0.17066666666666697,-0.79,-1.0503333333,-0.4295,-1.137333,-0.3015,-0.5456666666666671,-0.40700000000000003,-1.107,0.0573333333333333,-0.615166666666667,-0.7645,-0.4238333333333329,-0.8936666666666658,-0.6458333333,0.4371666666666671,-0.575333333333333,-0.30116666670000003,-1.071333,-0.0368333333,-0.608166666666667,-0.6141667,-0.02066667,-0.977666666666667,-1.104167,-1.11583333333333,-0.9193333,-0.4095,-1.7821666666999998,-1.216833,-0.5146667,-1.06133333333333,-0.004,-0.7796666666666671,0.39299999999999996,-1.459,-1.627833,-1.14916666666667,-0.5833333,-0.626833333333333,-1.1998333333,-0.343333333333333,-0.8476667,-0.581166666666667,-0.612333333333333,-1.0376670000000001,-0.563,-0.6715,-0.5051667000000001,-0.0185,-0.7909999999999999,-0.9266667
PTCRA,-0.887,-0.076,0.34299999999999997,0.37200000000000005,0.025,-0.08900000000000001,0.247,0.11199999999999999,0.8355,1.5625,0.39,0.1155,0.221,-0.24600000000000002,-0.2365,0.0125,-0.6095,-0.3135,0.0905,-0.0715,0.14,0.1595,-0.248,1.3595,1.5435,0.561,-0.3495,0.3435,-0.0925,-0.1455,-0.71,0.061,-0.3165,-0.332,-0.5295,0.718,-0.652,0.1885,-0.064,1.3005,0.1105,-0.213,0.5539999999999999,-0.5265,1.9765,-0.0415,0.6940000000000001,0.483,-0.3645,0.5415,0.7865,0.6355,0.6655,-0.925,0.695,-0.33,0.33,-0.218,-0.0925,2.293,-0.221,-0.37200000000000005,0.2535,-0.36700000000000005,0.013000000000000001,0.48,0.1,0.9585,0.7065,1.0915,0.6905,-0.1435,0.591,-0.2085,0.7035,-0.0605,-0.2685,0.226,1.5125,0.598,1.0555,0.1055,0.1555,-0.0305,-0.249,-0.2285,0.18,0.5855,-0.259,0.22899999999999998,0.162,0.1,0.494,1.1345,2.3245
FST,-3.53375,-5.181,-4.3225,-3.88025,-4.132,-3.77625,-2.872,-3.21575,-4.20225,-4.3775,-4.69075,-3.3045,-4.40375,-3.48975,-4.4323333333,-4.5765,-3.70825,-2.444,-3.41325,-3.85375,-4.37775,-4.2215,-3.60725,-3.46875,-3.43325,-4.1285,-4.841,-4.045,-4.313,-4.442,-3.80675,-4.69425,-2.984,-4.38975,-4.31825,-3.4105,-4.89375,-3.77725,-5.74825,-1.79025,-3.94375,-2.48,-3.34375,-4.3045,-4.08975,-4.52025,-4.83075,-4.02375,-4.54475,-4.3085,-4.0975,-4.14425,-4.35825,-4.0795,-2.78825,-1.47325,-4.4295,-3.3375,-4.24325,-3.9419999999999997,-2.5505,0.013999999999999999,-4.6445,-1.7445,-3.6415,-4.3035,-3.3710000000000004,-2.184,-3.83225,-3.04675,-3.0235,-3.7195,-2.8385,-3.19,-3.282,-4.702,-2.84925,-3.9585,-2.908,-4.5255,-3.91925,-2.48425,-4.08525,-3.34575,-4.81025,-3.12175,-4.607,-3.22875,-4.19075,-3.65975,-4.21825,-4.15275,-4.36325,-3.62375,-3.52675
E2F4,-1.1205,-1.3579,-1.2255,-0.8317,-0.1776,-0.6938,-0.2611,1.0427,-0.3261,-0.7565,-0.159,-1.1239,-1.63,-1.1188,-0.7283,-0.9145,-0.6253,-0.5994,-0.8320000000000001,-1.0968,-1.1518,-0.5471,-0.507,-0.0026,-1.3834,-0.4611,-1.784,-0.4649,-1.1527,-0.2911,-0.7849,-1.022,-1.0868,-1.1259,-0.6523,-0.3463,-0.4872,-0.6437,-1.0390000000000001,-0.382,-0.6537,-0.6573,-0.3494,-0.6890000000000001,-0.7727,-0.3432,-0.7594,-0.0726,-0.8119,-0.5848,-0.1359,-0.6042,-0.7678,-1.1426,-0.8701,-1.1029,-0.5239,-0.9267,-0.7293,-0.4363,-1.1109,-1.4355,-0.7802,-1.1663,-0.8017,-0.2801,-0.5095,-0.6829999999999999,0.41700000000000004,-0.4523,-1.1067,-1.1906,-0.6605,-1.0591,-0.8503,-0.9187,-0.2947,-0.083,-0.8215,-1.1847,-1.2895,-0.9231,-1.149,-1.2353,-1.1819,-0.5255,-0.9626,-1.0355,-0.6536,-1.2938,-0.7728,-0.7634,-0.9615,-0.4337,-0.8170000000000001
WNT10B,-1.246,-2.745,-1.773375,-1.670625,-1.205875,-1.892875,-1.483625,-2.5725,-2.133,-0.54075,0.74975,-0.40325,-2.315625,-1.0170000000000001,-2.2805,-0.833875,0.4355,-0.77475,-0.973,-2.356875,-2.310625,-1.1420000000000001,0.95125,-1.358375,-1.74425,-1.112625,-0.96775,-2.0225,-1.1520000000000001,-2.13925,1.71625,-2.352375,-0.802375,-2.811875,-0.880625,-1.427875,-1.876875,-0.04125,1.398125,-0.775,-1.571875,-2.301125,-1.26125,-1.319125,-1.35975,-1.43675,-0.0625,-2.135,-2.22675,-1.65725,-0.483,-0.0595,-1.64725,-2.171625,-0.0405,-1.761375,-0.8495,-1.322125,-1.6115,0.007124999999999991,-1.307625,-1.203125,-2.746375,-2.774875,-1.9205,-0.25225,-1.595625,-2.119,-2.2925,-1.000625,-2.1345,-1.78825,-1.193,-1.707375,-0.8735,1.05075,-2.485375,1.211125,-0.22475,-1.67075,-1.2815,-2.2,-0.985375,-1.83025,-2.240875,0.65325,-1.681375,-1.79275,-1.412375,-0.4885,-2.6365,-1.613375,-2.390625,-2.1355,0.486625
ZFYVE9,0.24075,1.20575,-0.07375,0.2075,0.374875,-0.4185,0.1035,0.36325,0.4595,-0.583875,0.2675,0.055375,0.4905,-0.233875,-0.105875,-1.250125,-0.203125,-0.042,-0.47700000000000004,-0.693625,0.25625,-1.090625,-0.272125,-0.9109999999999999,-2.03525,0.582625,1.436375,-0.70325,-0.072375,0.811125,-0.192875,-0.045125,0.435875,-0.055875,0.371625,-0.283375,1.3035,0.377,0.708625,0.812,0.7085,-0.97475,-0.0415,0.423625,-1.31525,-0.797875,-0.316375,-0.106375,1.736125,-0.3955,-0.9795,-0.517375,-0.634375,0.27399999999999997,0.99475,0.069375,0.3875,0.638875,0.28275,0.153125,-0.451375,-0.043375,0.65075,-0.73975,0.092875,-0.2205,-0.379125,-0.606625,-0.313625,0.235125,0.7685,-0.2062857143,0.25725,-0.1585,-0.245285714285714,0.7025,-0.087125,-0.071375,-0.16925,-1.098625,-0.0165,-1.097125,0.8220000000000001,-0.630875,-1.326375,-1.054625,-0.15875,-0.22325,0.218125,-0.307875,0.886625,0.56825,-0.071125,0.294375,-0.6425
EIF4E,0.37104545450000004,0.2202272727,-1.186636,-0.037000000000000005,0.5141818,-0.4410455,0.3105,0.0654761904761905,0.12313640000000001,-0.289681818181818,-0.36522727272727296,0.2162272727,-0.7853181818000001,-0.40677270000000004,-0.2300454545,0.07609091,0.1111363636,-0.39336363636363597,-0.0808636363636364,0.0235,-0.02981818,0.5437727272727271,-0.23713636363636398,-0.2066364,0.269227272727273,-0.41009090000000004,-0.3588181818,0.31640909090909103,-0.2635454545,0.8173182,-0.265045454545455,0.8230909,0.6365909000000001,0.5025,-0.5004090999999999,-0.40872727299999995,0.487454545454545,-0.254772727272727,-0.3350455,-0.107,-0.8425455,0.09027272730000001,0.1056364,-0.5225,-0.4387273,0.7865454545,-0.0225,0.0008181817999999999,0.013863636399999999,0.0536818181818182,0.3038181818,-0.35254545454545505,0.648227272727273,0.24586363636363603,-0.503181818181818,-0.527047619047619,0.297272727272727,-0.3946363636,-0.5555909090909089,-0.22218181818181798,0.043,-1.1195,-0.8217272727,-0.597136363636364,-0.3673636,0.2826364,-0.26986363636363603,-0.1796364,0.9009545454545459,-0.04040909,-0.400681818181818,-0.5183636364,-0.04390909,-0.41113640000000007,-0.11581818181818199,0.251090909090909,-0.641545454545455,0.8981363636363641,0.506636363636363,-0.3886364,-0.23652380952381,-0.08004545,0.601363636363636,-0.12127272730000001,-0.782454545454546,0.09190909,-0.0989545454545455,0.0358636363636363,-0.11609089999999998,0.6172727272999999,0.11604545454545499,0.37799999999999995,-0.573909090909091,0.2326363636,-0.6325
MDM2,-0.6561666667,-0.9575,-0.24975,-0.0319166666666667,0.8275,0.8608333,-0.06491667,-0.9095,-0.2598333,0.19,-0.924416666666667,0.56425,-0.35558333329999997,-1.0308329999999999,-0.7519090909,-0.4599167,-0.041583333300000004,-0.314333333333333,-0.752833333333333,-0.57675,-0.4323333,0.05575,0.5920000000000001,-0.2791667,-0.15575,0.3785,0.7065,0.44008333333333294,-0.8979166667,-0.726,-1.03883333333333,-0.1963333,-0.5198332999999999,-0.258,-0.7740833,-0.916333333,-0.23875,-0.5288333333333329,-0.7224166999999999,-0.5896666667,0.23841669999999998,0.2736666667,-0.4955,-0.300333333333333,-0.4150833,-0.6933333333,-1.099833,-0.5506667,-0.0853333333,-0.35775,-0.3548333333,-1.03466666666667,-1.03258333333333,-0.51925,0.17716666666666697,-0.4485,1.19316666666667,-0.7083333333,-0.551583333333333,-0.646916666666667,-0.3335833333,0.6626666999999999,-0.2911666667,-0.64725,-0.03725,-0.41183329999999996,0.564833333333333,-0.5870833000000001,-0.0258333333333333,0.28325,-0.3095,0.2675833333,-0.12425,-0.49641670000000004,1.68808333333333,0.02475,-0.163083333333333,-0.9925,0.10541666666666699,0.05275,-0.4296666666666671,-0.237,0.80125,-0.9491666667,-0.43691666666666706,-0.7511667,-0.2755,0.4599166666666671,-0.62475,-0.0776666667,-0.562416666666667,-0.50775,-0.30275,-0.63975,-0.03033333
AKT2,-1.1989285714,0.0779285714,0.3731429,-0.241285714285714,-0.4630714,-0.47414290000000003,-0.4840714,-0.0605714285714285,-0.032,-0.888,0.651785714285714,-0.8523571429000001,-0.3776428571,-0.4762143,0.067,-0.5771429,-0.4882857143,0.327785714285714,0.406,-0.897142857142857,-0.2145714,-1.3562857142857099,-0.517,0.2469286,-1.11164285714286,0.31692859999999995,-0.6076428571,-0.849142857142857,0.09257142859999999,-0.9095,-0.461928571428571,-0.1335714,0.2137857,-0.252714285714286,-0.4280714,-0.554142857,-0.00871428571428571,-0.309076923076923,-0.8145714,0.2721428571,-0.5975,-0.4420714286,-0.8259286,-0.8547857142857141,-0.8590714,-0.09578571429999999,0.1653571,-0.5869286,-0.1262142857,-0.191076923076923,-0.8065,-0.19828571428571398,-0.8672857142857142,0.167142857142857,-0.226714285714286,-0.17942857142857102,-0.199857142857143,-0.3577142857,-0.5586428571428571,0.102214285714286,-0.64,-1.206,0.1511428571,-0.8119285714285709,-0.18235710000000002,-0.8139286,-0.33735714285714297,-0.7592857,-0.299285714285714,-0.5100714,0.6837142857142859,-0.7132142856999999,-0.5405,-0.7572857,-0.30142857142857105,-0.5891428571428571,0.136785714285714,0.163714285714286,-0.512428571428571,-0.8045,-0.5683571428571429,-0.2832857,0.0937857142857143,-0.3231428571,-0.9605714285714291,0.13714289999999998,-0.4355,-0.253357142857143,-0.2205714,-0.002,0.152214285714286,-0.5125,-0.45399999999999996,-0.4019285714,-0.376
CCNB2,-0.35644444439999995,-0.7353333333,-2.087444,-1.65777777777778,-0.7063333,-1.777222,-0.28955559999999997,0.8072222222222221,0.6017778,-1.39222222222222,-1.59433333333333,-1.9635555556,-2.3635555556,-0.2085556,-1.1774444444,-0.8557778,-0.38133333329999997,-0.5321111111111111,-1.21455555555556,-1.25855555555556,0.36144440000000005,-0.5321111111111111,-0.7582222222222221,0.01711111,-1.48144444444444,-0.8483333000000001,-1.1986666667,-0.909222222222222,-1.2254444443999999,0.06133333,-1.07844444444444,-2.662,-1.8973330000000002,-0.24977777777777802,-0.8642221999999999,-0.807111111,-1.173,-1.4381111111111102,-0.9918889000000001,-1.9073333333000002,-1.409556,-1.3455555556,-0.6509999999999999,-1.92822222222222,-0.21388890000000002,-0.3277777778,-1.405556,-0.903,-1.5651111111000002,-0.929444444444445,-0.9305555556,-0.9532222222222221,-0.753,-0.638,-1.16755555555556,0.0294444444444444,-0.6294444444444439,-1.2938888889,-1.339,-0.894666666666667,-0.5720000000000001,-2.286667,-0.064,-0.5346666666666671,-0.272,-1.119,-1.92311111111111,-1.063444,-1.08944444444444,-0.7923333,-1.23988888888889,-1.01,-1.834111,-0.5113333,-1.3838888888888898,-0.6948888888888891,-1.0265555555555599,0.477222222222222,-1.62177777777778,-1.086111,-1.67111111111111,-0.7809999999999999,0.11077777777777802,-2.2216666667,0.183888888888889,-1.109444,-0.7472222222222221,-0.39688888888888896,-1.560333,-0.43166666670000003,-1.35511111111111,-1.845889,-1.3091111111111102,-1.3384444443999999,-1.181222
CCNE2,3.3723636364,0.5854545455,-1.808455,-1.3556363636363602,0.6458182,-0.10290910000000002,-0.5445455,-0.368,0.01390909,-1.9758181818181797,0.252272727272727,-0.42254545450000003,-1.6729090909,-0.6405455,-0.632,1.134455,-0.14563636359999999,-1.8585454545454498,-1.845,-1.56190909090909,0.9444545,0.144636363636364,0.846727272727273,-2.151545,-2.2420909090909102,-0.08154545,1.5294545455000002,-0.886909090909091,-1.6480000000000001,0.18372729999999998,-0.470181818181818,-1.437909,0.09118182,0.188272727272727,-0.1283636,-0.400454545,-2.064,-0.7427272727272729,-0.01890909,-0.4145454545,-0.5108182,-0.7589090909,0.02763636,0.035,0.643,0.2305454545,-0.3299091,-1.207455,-1.9339090909,-0.654636363636364,-1.9435454545,-0.789272727272727,-1.10981818181818,0.5746363636363641,-1.28145454545455,0.8592727272727271,0.0864545454545455,-0.5617272727,-1.643,0.166909090909091,0.5238181818,-1.087545,-2.3679090909,0.20345454545454503,0.1993636,-0.8874545,-1.786,-0.3803636,-0.374818181818182,-0.08427273,-0.468090909090909,-1.2225454545,-0.8024545,0.11063640000000001,-1.541,-0.39118181818181796,0.10472727272727302,0.364,-2.17245454545455,1.062545,-0.282636363636364,-0.30254549999999997,1.6826363636363602,-0.4695454545,1.5232727272727298,0.5292727,-0.821454545454545,1.3276363636363602,1.290545,1.1111818182,-1.4386363636363602,-1.716818,1.14136363636364,-1.3828181818,-0.8875455
RAD50,-1.26525,-0.556375,-1.77475,-0.518125,-1.234375,-2.24925,-0.65225,-1.284625,-0.8585,-0.45425,-0.973,-0.492875,-1.284625,-0.3795,-0.88725,-0.841375,-0.656875,-1.09825,-1.43975,-0.61175,-1.177375,-1.62475,-0.715875,-0.587125,-0.435,-0.824625,-0.46675,-1.55475,-0.5575,-0.28875,-0.99425,-1.41925,-0.313375,-0.831125,-0.33375,-0.6559999999999999,0.1745,-1.66275,-0.680125,-0.591875,-0.877875,-1.6645,-1.09225,-0.934875,-1.116125,-0.80625,0.653,-1.024125,-1.589,-0.444125,-0.583625,-0.637875,-0.847,-0.334625,-0.9595,-0.786875,-0.40299999999999997,-1.010375,-0.387,-0.00525,-0.41100000000000003,-0.084375,0.164375,-1.173875,-1.431625,0.0445,-0.542,-0.307125,-0.339625,0.29775,-0.4075,-1.063625,-1.354625,-0.808875,-2.004625,-0.617375,-0.361625,-0.3045,-1.260125,-0.715,-0.663875,-1.033625,-0.45625,-1.19,-0.907125,-0.402875,-1.595625,-0.155625,-0.479625,-0.487875,-0.49175,-1.04725,0.2745,-0.134,-1.609125
INHBE,-0.3288333333,-1.0133333333,-1.2535,-1.6480000000000001,-1.727167,-0.7891667,-1.551833,-1.011,-1.343833,-1.27966666666667,-1.89233333333333,-0.8381666667000001,-1.0051666667,-1.461667,-1.1178333333,-1.266333,-1.4721666667,-0.7725,-0.93,-1.2025,-1.166,-0.7263333333333329,-0.5263333333333329,-1.078833,-1.30816666666667,-1.5095,-1.406,-1.4409999999999998,-1.195,-1.613333,-1.077,-1.298833,-1.331333,-1.777,-1.240167,-1.6205,-0.9565,-0.8045,-0.7448333,-1.2961666667,-1.3735,-1.3456666667,-1.601,-1.2570000000000001,-1.2163329999999999,-0.49200000000000005,-1.355167,-1.333833,-0.9291666667,-1.474,-0.4008333333,-0.977666666666667,-1.5343333333333302,-0.851,-1.03516666666667,-1.4665,-2.279,-1.1996666667,-1.121,-1.222,-1.0655,-1.389167,-1.018,-0.619166666666667,-1.4369999999999998,-1.2788329999999999,-1.4225,-1.493,-1.3840000000000001,-1.581833,-1.109,-1.265,-0.6173333000000001,-1.244,-0.51,-0.742333333333333,-1.3419999999999999,-1.11383333333333,-1.46283333333333,-0.514,-0.7245,-1.130667,-1.32483333333333,-0.6363333333,-0.611333333333333,-0.9851667,-1.5078333333333303,-1.20833333333333,-0.8588333,-0.7659999999999999,-1.1018333333333301,-0.8076667,-1.02283333333333,-1.3295,-0.8105
HDAC1,0.5795,-0.0065,-0.4056667,-0.27483333333333304,0.2235,-0.6578333000000001,0.1276667,1.08516666666667,-0.5853333000000001,-0.4745,0.544,-0.30016666670000003,0.0618333333,-0.3455,-0.3221666667,-0.759,-0.2045,-0.9245,-0.8175,-0.8590000000000001,-0.3343333,-0.4948333333333329,-0.4011666666666671,-0.5356666999999999,-1.00883333333333,0.6358333,1.2278333333,-0.12,-0.9435,-0.319,0.6285,-1.184333,-0.6785,-0.677833333333333,-0.5005,-0.2,-0.866333333333333,-0.688,-0.2446667,-0.5303333333,-0.2035,-0.7846666667000001,-0.7186667,-0.4206666666666671,0.01283333,0.321,-0.0685,-0.2315,-0.8211666667,0.008166666666666659,-0.6225,0.5256666666666671,-0.4943333333333329,-0.0663333333333333,-1.10233333333333,-0.0113333333333333,0.114666666666667,-0.315,-0.5405,0.276,-0.4198333333,-0.8605,0.0548333333,-0.4546666666666671,-0.4358333,-0.4695,0.0115,-0.7895,0.559166666666667,0.41583329999999996,0.0546666666666667,-0.3501666667,-0.0975,-0.2213333,-1.7625,-0.3235,-0.451,-0.699666666666667,-0.26,-0.2905,-0.621,-1.2095,-0.560833333333333,-0.44033333329999996,-0.491,-1.0268329999999999,-0.0841666666666667,-0.252666666666667,-0.2806667,-0.36966666670000004,0.707833333333333,-0.5925,0.900333333333333,0.2151666667,0.18183329999999998
IL1R1,-0.8241666667,0.44033333329999996,1.8228330000000001,2.60116666666667,0.4375,0.02766667,1.5655,2.4895,1.513667,1.90166666666667,1.23966666666667,1.8628333333000002,1.2041666667,1.606667,0.614,0.45483329999999994,-0.15,1.07716666666667,2.4791666666666696,0.69,0.1333333,0.8165,0.956833333333333,1.435833,2.91983333333333,1.118667,1.5473333333000001,2.55966666666667,0.6716666667,0.9059999999999999,1.171,1.6175,1.202833,0.676666666666667,1.148333,1.982666667,0.4305,0.997833333333333,0.5095,1.3176666667,1.328833,2.4068333333000003,1.669,-0.3746666666666671,1.544833,0.154,0.41233329999999996,1.128,0.478,1.6916666666666698,1.9101666667,1.21833333333333,2.4075,1.962,0.649,0.767333333333333,1.9563333333333301,0.30416666670000003,1.9275,2.47616666666667,1.0833333333,1.092167,1.9545,2.12666666666667,1.660667,0.7759999999999999,2.6355,2.4255,2.02633333333333,3.2118330000000004,0.9191666666666658,1.5883333333,1.6668330000000002,0.5563333,1.15,1.209,0.312333333333333,0.996166666666667,2.52816666666667,1.7266669999999997,4.2181666666666695,4.1588330000000004,1.26483333333333,2.3038333333,0.45299999999999996,1.015833,1.3355,0.142833333333333,0.5806667,1.242,2.6195,-0.2791667,2.1395,1.5141666666999998,0.23916669999999998
RRAGB,0.3886666667,0.9655,-0.40399999999999997,1.19,-0.5281667,1.527,0.9175,1.18433333333333,0.4918333,0.3528333333333329,0.18216666666666698,-0.0573333333,1.3475,1.9268330000000002,0.8131666667,-0.1278333,1.3876666667,1.8065,-0.4085,0.4423333333333329,0.6185,-1.03616666666667,0.997166666666667,0.278,0.41366666666666707,0.2841667,0.0423333333,-0.771166666666667,2.1313333333,0.01983333,1.33383333333333,0.4155,0.1985,-0.752333333333333,0.8170000000000001,0.513833333,0.4228333333333329,0.193666666666667,1.394833,1.4185,-0.07233333,-0.19966666670000002,0.8108333000000001,0.575833333333333,0.6738333000000001,0.43316666670000004,0.3735,0.7091666999999999,1.6723333333000001,0.869333333333333,0.446,0.3365,-0.962333333333333,1.86833333333333,-0.253166666666667,0.242,0.17216666666666697,0.9523333333,1.5465,0.4601666666666671,1.643,1.169833,-0.6281666667,0.6695,0.5691666999999999,-0.5805,-0.1485,1.247833,-0.919833333333333,-1.102167,0.227166666666667,-0.4516666667,0.2723333,0.2335,-0.41116666666666707,0.907,1.28183333333333,0.6023333333333329,1.25083333333333,0.172,0.2435,-1.0075,0.575166666666667,1.1481666667000001,0.7993333333333342,0.7648333,0.631666666666667,-0.296833333333333,0.7965,-0.7233333332999999,1.63433333333333,-0.2756667,-0.0345,1.2621666667,-0.5665
DFFB,1.2057777778,0.0416,-0.2138,0.0348,0.5485,0.6786,0.6107,0.7566,-0.0063,-0.0634,-0.0511,0.7224,0.3156,-0.7194,0.3331,-0.5441,0.1308,-0.1008,-0.2674,0.8502,0.0746,0.6181,0.0665,-0.1407,-0.3533,-0.2337,-0.2966,-0.8482,0.3923,-0.2731,0.9763,0.1477,-0.1178,0.1548,-0.6195,-0.0392,0.0596,-0.3697,-0.392,0.1523,0.0177,-0.8325,-0.3784,-0.18,-0.2679,0.8374,0.7396,-0.0112,0.6827,0.6366,0.22,0.8285,0.3069,-0.5383,0.3951,-0.1257,0.0493,-0.0889,0.2193,0.9245,-0.3676,-0.3058,0.7258,-1.168,-0.4748,-0.0434,0.4793,-0.4825,-0.2052,-0.617,-0.0166,0.1145,0.1876,-0.4836,-0.0473,0.1121,-0.9002,0.079,-0.0197,0.4659,0.7369,-0.8229,-0.5891,-0.2375,-0.4667,0.3665,1.4279,-0.213,0.1227,-0.0842,-0.0962,-0.7136,-0.171,1.175,0.373
AIFM1,0.0025,-1.23375,0.303,0.153,0.22125,-0.7775,0.2455,0.8320000000000001,0.5035,-0.43725,-0.654,0.9815,0.21,-0.71025,-0.1965,-0.49475,0.76225,-0.72025,-0.19925,-0.78475,-0.7425,-0.517,0.55875,0.24925,-0.01175,0.29525,-0.28525,0.18425,-0.04525,-0.04525,-0.5855,0.5145,-0.33,-0.315,0.00725,-0.34325,0.93975,0.0515,0.3875,0.547,-0.341,0.2445,-0.25525,-0.9990000000000001,-0.3215,0.80975,0.19399999999999998,-0.34175,0.07625,-0.2285,0.15075,-0.16375,-0.00575000000000001,-0.1185,0.23399999999999999,-0.2695,0.172,0.203,0.25475,0.6475,0.07375,-0.3625,0.43775,-1.0025,-0.29775,-0.43975,-0.19075,-0.172,-0.40825,0.27525,0.276,1.1475,0.4365,-0.0675,-0.618,0.455,-0.102,-0.3765,-0.27575,-0.00525,-0.16825,0.11375,-0.15425,-0.36875,0.19125,-0.3595,0.27225,0.06925,0.3305,0.65175,-0.069,-0.8495,0.043,0.247,0.19425
