,TCGA-A2-A0YK,TCGA-AO-A03R,TCGA-AO-A03T,TCGA-AO-A03U,TCGA-AO-A0JB,TCGA-AR-A1AO,TCGA-B6-A0IE,TCGA-E2-A108
RRM2B,0.02566667,2.2693333333333303,1.501,1.17816666666667,-0.4781666666666671,0.305833333333333,-0.22583333333333303,0.6588333332999999
WNT5B,-0.0895,-1.31825,-0.0077500000000000095,-0.818,0.456,-0.12625,-0.27525,-1.0695
PSEN1,0.70575,0.00783333333333333,-1.10408333333333,0.697833333333333,-0.781333333333333,1.03466666666667,0.101166666666667,0.0576666667
CDKN2A,-1.8739169999999998,-0.93875,-0.981833333333333,-1.09158333333333,-1.3661666666666699,-1.1885,-1.93875,-0.48966666670000003
SESN2,-0.4505,-0.7709999999999999,0.00866666666666666,-0.688,-0.657333333333333,-0.700666666666667,-1.4111666666666698,-0.2933333333
TNFRSF10D,-0.20525,-0.994666666666667,-0.5256666666666671,0.53225,-1.16333333333333,-0.1815,-1.5755,-0.33875
SMO,-0.68525,-2.286,-0.8045,-0.5195,-0.34275,-0.6559999999999999,-1.17825,-1.04575
PIK3R5,1.7385,0.36075,2.3485,1.196,2.5205,2.45875,2.08225,0.93425
BAMBI,-0.75425,-2.58175,-0.629,-1.4340000000000002,-1.560125,0.947375,1.703375,1.071
WNT3A,0.0191,0.1744,0.2154,0.2584,0.5811,1.7629,0.1083,0.1623
IKBKG,-0.6126666999999999,-0.3738333333333329,-0.682666666666667,-0.1825,-0.28916666666666696,-0.1835,-0.9535,-0.1673333333
WNT9A,0.09025,0.424,-0.6003333333333329,-0.0095,-0.703666666666667,0.2735,-0.154,-0.56475
BIRC2,-0.7493333000000001,-0.709333333333333,-1.3591666666666697,-0.4566666666666671,-1.5281666666666698,-0.3706666666666671,-0.6095,0.0578333333
INS,0.1825,0.4405,0.54,0.3545,-0.12875,0.07275,0.68475,0.09425
SMAD2,0.24116669999999998,0.34077777777777796,0.0341111111111111,0.43700000000000006,-0.702333333333333,0.331,0.375277777777778,0.4799444444
TSC1,0.2021667,0.0056666666666666705,-0.269666666666667,-0.3335,0.346666666666667,-0.0898333333333334,0.304,0.3416666667
WNT2,3.874375,2.4825,1.909,4.206,1.49075,6.452125,3.036375,4.84825
PMAIP1,-2.22725,-2.272875,-1.4955,-2.1959999999999997,-2.795375,-3.116125,-0.53675,-1.665625
RPA3,-1.96,-1.421,-0.88275,-1.713,-2.08925,-1.09125,-1.33325,-1.2575
GLI2,0.74675,-1.067375,-0.927375,-0.993125,-0.70875,-0.95625,0.067,0.101875
TP53,-0.10966669999999999,-0.5091666666666671,-1.22983333333333,-0.5405,-1.213,-0.851166666666667,-2.15983333333333,-0.8736666667
RPS6KA1,0.564,0.04,0.9890000000000001,2.00825,0.669,1.68525,0.17600000000000002,0.539
CFLAR,1.186375,-0.514875,-0.592875,0.63275,-0.615,0.85075,-1.069,1.0125
IL1B,2.403833,1.3821666666666699,-0.857,2.44983333333333,-1.4040000000000001,3.017,-1.34916666666667,1.6506666666999998
DTX3,-0.1796667,-0.744666666666667,0.31675,-0.51475,-0.00149999999999995,-1.15416666666667,-0.5935,-0.88325
GDF6,-4.9255,-4.9785,-5.65533333333333,-5.545,-3.5335,-4.9805,-4.39975,-4.75725
CASP10,0.3675,-0.6552857142857139,-0.927142857142857,0.5993571428571429,-0.45321428571428607,0.7137857142857141,-0.516785714285714,0.612
BTRC,0.7065,1.5541666666666698,0.4561666666666671,0.319,-0.10400000000000001,0.305333333333333,0.4465,0.2778333333
CCNG2,1.518375,1.01675,-0.25075,1.469625,-0.037375,1.560875,1.827375,1.398625
PPP2R1B,-0.641625,-0.66425,-0.83875,0.06925,-1.467375,-0.473125,-1.057625,0.580875
RHOA,0.7440000000000001,-0.5610833333333329,-1.17608333333333,0.5315,-1.7269166666666698,0.44541666666666707,-1.3125,1.0045833333
PPP3CC,0.35200000000000004,0.18275,0.13699999999999998,0.23675,-0.768,0.90025,-0.187,0.7885
PRKAR1A,0.04522222,-0.918333333333333,0.21805555555555606,0.12788888888888902,-1.20522222222222,0.5145555555555561,0.0526111111111111,0.19244444440000003
RAD52,-1.335667,-2.4503333333333304,-2.2653333333333303,-0.8035,-0.980333333333333,-1.38966666666667,-1.13616666666667,-1.1205
CTBP1,0.1960833,1.09091666666667,0.953416666666667,0.13425,0.9715,0.22525,0.577583333333333,-0.21575
PSENEN,0.2368333,0.957166666666667,1.6880000000000002,-0.0328333333333333,1.469,-0.0436666666666667,1.00033333333333,-0.1631666667
BAD,0.8055,0.76925,0.99375,0.82975,1.2215,0.44525,0.95725,0.27
BMP4,0.236625,-2.587375,-2.365,-1.665125,0.308125,-0.670125,-1.9545,-0.696625
RPS6KB2,0.63625,-1.541,-1.87375,-1.13875,-0.68425,-1.37475,-2.32725,-1.94875
SESN3,0.77275,-0.7975,1.44975,0.9845,-0.63975,1.3895,-0.12475,0.355
DVL3,-0.007666666999999999,0.0323333333333333,-0.35975,-0.19141666666666698,-0.196916666666667,0.40225,-0.632833333333333,-0.3850833333
LEFTY2,-1.95325,-3.465,-3.117,-3.665,-2.401,-3.2305,-2.51325,-2.07275
WNT7A,0.5746667,0.159333333333333,-0.00450000000000001,0.055999999999999994,0.3584,0.4108333333333329,0.109833333333333,-0.1276666667
RIPK1,1.018,0.24516666666666698,0.5433333333333329,0.632,0.250833333333333,0.660333333333333,0.4235,0.6706666667
CHRD,0.531875,-0.196,0.0720000000000001,0.07400000000000001,0.64975,0.026000000000000002,0.00887499999999999,0.60625
BAX,-1.507167,-0.691,-0.622666666666667,-0.9255,0.3555833333333329,-0.04125,-1.14475,-1.3519999999999999
CSF2RB,1.1535,-0.061,0.107,1.9555,0.0355,1.002,-0.0635,0.8075
PTCH2,0.67475,0.507,0.54425,0.52775,0.3085,0.37275,0.59225,0.42325
IRAK1,-0.78275,-0.45425,-0.376375,0.12725,-0.05575,0.00312499999999995,-0.512125,-0.730625
EP300,0.8382857,1.8609285714285702,1.29257142857143,0.335,0.062,-0.444,0.529428571428571,1.6142142857
ID1,-0.966875,-1.953,-2.3080000000000003,-1.185625,-1.09125,-1.564875,-2.1675,-1.389875
PIK3CB,0.035,-0.3645,-0.8765,-0.16075,-1.7555,-0.01225,-0.95225,0.06825
CAPN1,-0.09683333,0.275,-0.167166666666667,0.575833333333333,-0.650333333333333,-0.5143333333333329,-0.662333333333333,-0.3928333333
EIF4E2,-0.8975,-1.046,-1.10675,-0.31075,-0.32975,0.01325,-0.494,-0.17800000000000002
DVL1,-0.4261667,-0.0958333333333333,-0.20016666666666696,-0.4176666666666671,0.8015,-0.21416666666666698,-0.140833333333333,-0.9326666667
CDKN2B,0.48791670000000004,-0.2145,-0.19636363636363602,0.17325,-1.24758333333333,0.243,-0.291416666666667,0.9443333333
RPS6KA2,0.8105,-0.015,0.45899999999999996,0.46407142857142897,1.2893571428571398,1.584,0.8114285714285709,0.9521428570999999
GADD45B,1.4809999999999999,2.92475,2.2045,1.286,1.48025,1.219,1.54075,2.58625
CSNK1E,-0.1279167,0.0803333333333333,0.392,-0.7115,0.3846666666666671,-0.49791666666666706,0.0365,-0.5846666667
SESN1,1.103375,-0.059625,0.172,0.9990000000000001,-0.83075,0.780875,0.669375,1.24575
NUMB,0.14325,-0.20075,-0.60925,0.8525,0.2185,0.74975,0.17600000000000002,0.2955
ZFYVE16,0.1529444,-0.0246666666666667,-0.20216666666666697,-0.288111111111111,-1.4477647058823502,-0.370722222222222,-0.937117647058823,-0.21244444440000002
PIK3R1,2.729071,2.24285714285714,1.24857142857143,2.9165714285714306,1.57515384615385,2.10271428571429,1.04692307692308,2.2926428571
IGFBP3,-1.62,-2.14278571428571,-2.3862142857142903,0.8319285714285721,-2.17514285714286,-2.29921428571429,-2.08535714285714,-1.8852857143000001
WNT7B,-0.0448,1.6861,2.0169,1.0731,-0.5844,0.4336,0.2234,0.6663
SMAD6,-0.2825,-0.555,-1.45125,-0.22475,-0.91075,-0.7105,-1.56225,-0.379
XRCC2,-2.129167,-1.5768333333333302,-1.7163333333333302,-2.40283333333333,-2.62066666666667,-1.9808333333333301,-1.6445,-1.7723333333000002
CHEK1,-4.025125,-2.187625,-3.717875,-3.79475,-3.54475,-2.06575,-0.76,-2.242875
PRKAA1,-0.86675,-2.68825,-1.9175,-0.26,-1.0395,-0.3565,-1.4105,-0.7955
RRAGA,0.83175,0.5905,0.53875,0.90825,-0.5205,0.79225,0.28600000000000003,0.88375
SFN,-0.7096667,1.63233333333333,1.222,-0.120333333333333,1.2565,-0.27483333333333304,0.397,-0.3465
TGFB3,3.2627330000000003,2.39906666666667,2.6519999999999997,3.78353333333333,2.38093333333333,2.9484666666666697,3.682,3.2389333333
ID4,3.1406669999999997,1.5568333333333302,1.27,3.0665,2.53683333333333,3.23416666666667,0.2795,3.1326666667
IFNG,3.70025,0.948,0.00600000000000003,0.86125,-0.0507500000000001,4.24775,0.81025,5.13525
APH1A,-0.787125,-0.337875,-1.253625,-1.0335,-0.6385,-0.305375,-0.781375,-1.21725
SHFM1,-1.06825,0.02925,0.71975,-0.65725,0.519,0.64425,0.6015,-0.03275
BIRC8,-0.11775,-0.3295,0.40475,0.52625,0.8835,0.5710000000000001,0.62475,0.16899999999999998
ACVR1B,0.1286667,0.7545,1.043,0.707666666666667,1.6835,0.4295,0.6435,-0.1045
RRAGD,-0.5458333000000001,-0.9895,-2.32833333333333,1.03716666666667,-0.689833333333333,1.42083333333333,-1.7035,0.4201666667
ULK3,-0.5665,-0.20566666666666697,0.226166666666667,-0.6535,0.16166666666666699,-0.674166666666667,-0.572666666666667,-0.9336666667
MFNG,1.22125,-0.297375,-0.619625,1.175875,0.201875,1.19875,-0.441625,1.291125
SMAD5,0.43975,1.4875,1.3985,-0.6235,0.2395,-0.7205,-0.43375,1.13525
MDM4,-0.241125,0.59825,-0.025375,-0.965,1.58775,-1.131625,0.05125,-0.495
BIRC3,1.1045,0.47033333333333294,-0.4965,0.3495,-1.4606666666666699,1.18833333333333,-0.927666666666667,1.4323333333000001
CYCS,-1.11875,-0.805083333333333,-1.04058333333333,-1.7045,-1.05608333333333,-2.08408333333333,-1.73066666666667,-0.9583333333
RPA4,-1.0725,0.0686666666666666,1.77333333333333,-1.2405,1.9291666666666698,1.0715,1.3235,0.49833333329999996
CASP6,0.92725,0.543125,-0.361875,0.966875,-0.390875,0.622875,0.76675,0.49475
ZIC2,-1.48975,-3.43175,-3.108625,-3.798625,-2.055625,-3.699125,-2.279375,-2.22775
RBPJ,-0.46183329999999995,-1.089,-0.814666666666667,-0.832666666666667,-1.52,-0.642333333333333,-0.8105,-0.2751666667
TNFRSF10A,0.42525,-0.6875,0.0875,0.8140000000000001,-1.3685,0.552,0.4235,0.618
SMAD9,0.12925,-0.94775,-1.19975,-1.056,-1.10825,-0.67225,-0.599,0.10925
PERP,0.6558,-0.6602,-0.0697,1.8293,0.6446,1.1723,1.0305,-0.2482
ACVR2A,1.035833,-0.33283333333333304,-0.5048333333333329,0.576833333333333,-0.016,1.38566666666667,-0.0038333333333332798,1.1395
RPS6KA6,-0.72,-0.628,-1.22,0.391,-2.2915,-1.4955,-2.9330000000000003,-0.6555
BMP8A,0.971,-0.2395,0.5265,0.34,1.8285,1.057,-0.1635,0.966
BMP2,-1.5805,-1.276625,-1.753375,-2.261625,-1.885875,-1.13425,-2.63425,-0.338125
CDK4,-0.8478,-0.8275,-1.1325,-1.1218,-0.7205,-0.7292,-0.7551,-0.9715
TNFRSF10C,1.0505,0.387,0.1155,3.14325,0.95275,1.97075,0.102,0.809
GTSE1,-2.399667,-0.5025,-1.21533333333333,-2.38,-1.4378333333333302,-1.808,-1.97,-2.4245
LFNG,1.947875,1.004,2.846125,0.95825,3.094375,1.74,1.167,1.22675
RBPJL,-0.16399999999999998,0.408,-0.7859999999999999,0.0865,0.467,-0.9785,-1.4409999999999998,-0.5660000000000001
DTX4,0.728875,-0.67775,1.21075,0.8835,-0.48828571428571393,0.80075,0.074125,1.218125
IHH,-0.0005,-0.105,0.042,1.1115,-1.0335,-0.8005,-0.027000000000000003,0.2655
RPS6,0.619125,0.16175,-0.826,0.5275,1.116375,0.617875,-0.03025,0.165875
GADD45A,-1.395667,-1.25866666666667,0.2285,-2.2891666666666697,-2.4263333333333303,-0.9195,-1.21,-0.2176666667
PPP3R1,-0.381875,-0.46775,-0.788875,-0.8995,0.1495,-0.141125,0.137714285714286,-0.4335
PIK3R2,-0.074875,0.04825,0.168125,-0.283875,0.3995,-0.84175,-1.003125,-0.573875
CSNK1G1,0.1230833,-0.0935,0.26141666666666696,-0.591666666666667,-0.866333333333333,-0.24291666666666697,-0.6365,-0.03225
CASP9,-1.0745,-0.832125,-1.052875,-0.7845,-1.35275,-0.9055,-1.290375,-1.160625
NFKB1,1.5345,0.8672,0.5134,0.982,0.5398,1.0039,0.7070000000000001,1.0827
RPRM,-1.8543330000000002,-2.7645,-1.7678333333333303,-3.0168333333333304,-2.58916666666667,-1.055,-2.2119999999999997,-2.8863333332999996
BMP5,-1.883,-1.6475,-2.397,-2.9105,-2.356,-2.7475,-1.6680000000000001,-2.33025
TRADD,0.46533329999999995,-0.860166666666667,-0.049,0.9575,-0.4193333333333329,0.95,0.5171666666666671,0.5011666667
DVL2,-0.7213333000000001,-0.4416666666666671,-0.984833333333333,-1.07416666666667,-0.7490000000000001,-1.01966666666667,-0.5655,-1.3159999999999998
DLL1,1.33525,0.850625,1.268375,0.747,1.43225,1.785125,1.45875,1.0375
LEFTY1,-1.46275,-1.994,-1.786,-2.50825,2.23825,-2.4015,-1.74625,-2.681
BLM,-2.249,-0.93975,-0.6785,-3.11825,-0.0195,-1.57375,-1.6340000000000001,-2.17975
PPP2CB,0.3295,-0.9105,-0.663166666666667,0.5058333333333329,-1.6,0.5376666666666671,-0.5088333333333329,0.4345
PDPK1,0.4088571,0.655571428571428,0.595,-0.0842142857142857,-0.39171428571428607,0.009000000000000001,0.698642857142857,0.5005
RAD51C,-2.2235,0.93325,-1.03075,-2.0995,-2.077,-1.3635,-0.3735,-2.5215
IL1RAP,-0.5196667,-0.5981666666666671,-0.317833333333333,1.34875,-0.872916666666667,0.579666666666667,-0.15383333333333302,-0.1674166667
GLI3,1.4469999999999998,1.777375,2.261375,-0.707875,1.948875,0.015625,0.7245,0.9465
ZMAT3,0.485,-0.1135,0.11275,1.67575,0.08325,-0.08725,-0.71175,0.30075
SIAH1,0.29175,-0.98425,-0.9255,-0.05325,-0.74125,0.8390000000000001,1.4255,0.9615
EIF4B,0.122125,-0.669125,-1.1373125,0.0234375,-0.1279375,-0.48025,-1.3464375,-0.20800000000000002
SMURF1,-0.510875,-0.31375,-0.314,0.023,-1.087375,0.004625,-0.866875,-0.589
INHBA,0.6345,0.4926666666666671,1.8775,1.9823333333333302,2.39366666666667,0.889,1.4095,2.395
CCNG1,-1.012333,-1.605,-2.77133333333333,-0.6055,-3.2295,-1.32033333333333,-3.00666666666667,-1.2425
BCL2L1,-0.155,0.1774,0.3942,0.6372,-0.1648,0.021,-0.1421,-0.565
MAPK3,-0.1675,-0.0965,-0.140666666666667,-0.003999999999999979,-0.40616666666666706,-0.738833333333333,-1.0855,-0.5478333333
