,TCGA-A2-A0YK,TCGA-AO-A03R,TCGA-AO-A03T,TCGA-AO-A03U,TCGA-AO-A0JB,TCGA-AR-A1AO,TCGA-B6-A0IE,TCGA-E2-A108
RAD54B,-1.858,0.17775,-1.4280000000000002,-1.8445,-2.32475,-0.8365,-0.0985,0.02475
WNT5A,-0.7684,-0.7674,-3.0609,1.4202,-1.5836,-1.9689,-1.7624,-0.672
CCND1,0.8559167,1.35225,0.984416666666667,-1.31041666666667,-0.0828333333333333,-1.06525,0.7755,-1.1731666667
PRKACB,1.177286,-0.0961428571428572,-0.0430714285714285,0.22,-1.4113076923076902,0.781142857142857,-0.5329285714285711,1.2796428571
TGFB1,0.0337,-0.4861,-0.1742,0.0384,0.157,-0.256,-0.5176,-0.1476
PSEN2,0.657,0.645,1.34908333333333,0.6435,1.26483333333333,1.5749166666666699,-0.10033333333333301,0.96925
POLD4,1.344875,0.019,0.973625,0.65025,0.215625,0.304875,0.67525,0.595
EI24,-0.057,0.3585,-0.376,0.21,-0.2,-0.1895,-0.1805,-0.0965
STK36,0.10033330000000001,-0.4905,1.3435,0.187,0.8845,-0.660333333333333,0.885666666666667,-0.34600000000000003
RCHY1,0.6218333,-0.0156666666666666,-0.964666666666667,1.244,-2.20466666666667,1.6288333333333302,-0.23966666666666697,0.7396666667
MAML1,0.218,0.11599999999999999,-0.5911,0.00419999999999998,-0.6298,0.1451,-0.6524,0.2845
SMAD1,1.3744,2.4297,1.9831,1.5217,1.9043,1.3585,1.8589,1.3595
LRP2,3.848125,2.156,3.953625,4.01375,0.584375,1.16525,3.895125,3.722
EIF4EBP1,0.7165,-0.56075,-0.2465,-0.43775,0.64875,-0.8155,-0.483,-1.77225
TGIF1,0.2665,0.848,1.5045,0.2345,0.5345,-0.11599999999999999,0.8959999999999999,0.565
STK11,0.49200000000000005,1.097125,0.8420000000000001,0.50475,1.28875,0.134125,0.38575,0.0135
ADAM17,0.18525,-0.131125,0.242,0.5215,0.284625,0.472375,0.882125,0.805
PPM1D,-1.3985,-1.32083333333333,-1.21833333333333,-1.29366666666667,-1.9473333333333303,-1.4151666666666698,-0.8503333333333329,-1.3995
BMP8B,0.26225,0.992,1.192,1.199,0.6615,1.1440000000000001,0.10800000000000001,-0.26275
PTEN,1.1903569999999999,0.9012142857142859,-0.255142857142857,1.453,0.261071428571429,1.2488571428571398,0.901642857142857,0.5855714286
SERPINB5,0.7901667,-0.4659166666666671,-0.556333333333333,0.967916666666667,-0.36472727272727296,0.451,-1.2982727272727301,0.010833333300000001
HES5,3.897,0.9915,0.97625,0.71775,1.29775,2.95575,4.3685,2.58225
STEAP3,0.32175,-0.30175,-0.1695,2.697875,0.13725,0.748875,-0.282,-0.11275
CASP8,-0.8218,-0.5239,-0.6579999999999999,-0.7933,0.8476,-1.1739,-0.6794444444444441,-0.449
JAG1,1.418333,0.7895,0.4546666666666671,0.596666666666667,1.5048333333333301,1.022,0.891333333333333,1.541
DTX1,1.694875,0.558625,0.368125,-0.48975,-0.795125,0.583,0.273625,1.3295
PIK3R3,1.0988,3.4275,1.4677,0.9237,2.1236,0.8276,1.8545,1.7803
IRAK3,1.9905,1.19766666666667,0.919833333333333,2.8798333333333304,1.53466666666667,3.59583333333333,3.3135,3.7611666667000003
INHBB,3.7158330000000004,2.4985,3.52283333333333,2.23683333333333,3.52916666666667,2.9556666666666698,2.5225,2.8336666667
CCND3,-0.1330714,-0.5442857142857139,-0.35442857142857104,0.7962142857142859,-0.44764285714285706,-0.6078571428571429,-1.2155,-0.9290714286
ROCK1,0.6349286,-0.0725,0.307785714285714,0.5385714285714289,0.44028571428571395,0.8169285714285709,-0.0557857142857142,0.8720714286
RPA1,-0.41600000000000004,-1.34975,-1.55025,-0.7655,-1.6540000000000001,-1.1805,-1.07725,-0.51275
WNT10A,1.466125,0.479125,0.775875,0.009249999999999991,0.63025,1.452125,1.839625,1.256
NOTCH4,2.649125,1.724375,2.489,1.820375,3.038875,1.87725,1.698125,2.41575
HHIP,-3.0095,-2.58625,-3.64325,-3.81675,-2.8385,-4.00525,-2.69125,-3.00025
CAB39L,2.2742,2.1591,1.578,2.7415,2.6279,2.3477,2.072,1.8995
BMPR1B,4.843667,4.4835,0.0901666666666667,-0.0025,0.3986666666666671,1.26533333333333,-0.12216666666666699,1.5146666667
RPS6KA3,-0.89475,-1.9905,-1.82875,0.295625,-2.538625,-0.2885,-1.961125,-0.6695
