,TCGA-A1-A0SD,TCGA-A1-A0SE,TCGA-A1-A0SH,TCGA-A1-A0SJ,TCGA-A2-A04N,TCGA-A2-A04V,TCGA-A2-A04Y,TCGA-A2-A0CP,TCGA-A2-A0CQ,TCGA-A2-A0CS,TCGA-A2-A0CU,TCGA-A2-A0CV,TCGA-A2-A0CZ,TCGA-A2-A0D3,TCGA-A2-A0EM,TCGA-A2-A0EN,TCGA-A2-A0EO,TCGA-A2-A0ES,TCGA-A2-A0ET,TCGA-A2-A0EU,TCGA-A2-A0EV,TCGA-A2-A0EW,TCGA-A2-A0EX,TCGA-A2-A0SU,TCGA-A2-A0SY,TCGA-A2-A0T5,TCGA-A2-A0T6,TCGA-A2-A0T7,TCGA-A2-A0YC,TCGA-A2-A0YD,TCGA-A2-A0YF,TCGA-A2-A0YI,TCGA-A2-A0YL,TCGA-A7-A0CD,TCGA-A7-A0CG,TCGA-A7-A0CH,TCGA-A7-A0D9,TCGA-A7-A0DB,TCGA-A8-A06P,TCGA-A8-A06T,TCGA-A8-A06U,TCGA-A8-A06Y,TCGA-A8-A07E,TCGA-A8-A07F,TCGA-A8-A07G,TCGA-A8-A07J,TCGA-A8-A07P,TCGA-A8-A083,TCGA-A8-A086,TCGA-A8-A08A,TCGA-A8-A08C,TCGA-A8-A08O,TCGA-A8-A08T,TCGA-A8-A08Z,TCGA-A8-A090,TCGA-A8-A091,TCGA-A8-A093,TCGA-A8-A099,TCGA-A8-A09A,TCGA-A8-A09B,TCGA-A8-A09T,TCGA-A8-A09V,TCGA-A8-A0A1,TCGA-A8-A0A2,TCGA-A8-A0A4,TCGA-A8-A0A6,TCGA-A8-A0AD,TCGA-AN-A03X,TCGA-AN-A046,TCGA-AN-A04A,TCGA-AN-A0FD,TCGA-AN-A0FN,TCGA-AN-A0FS,TCGA-AN-A0FT,TCGA-AN-A0FW,TCGA-AN-A0FZ,TCGA-AN-A0XL,TCGA-AN-A0XN,TCGA-AN-A0XO,TCGA-AN-A0XP,TCGA-AN-A0XS,TCGA-AN-A0XT,TCGA-AN-A0XV,TCGA-AO-A03M,TCGA-AO-A03V,TCGA-AO-A0J8,TCGA-AO-A0J9,TCGA-AO-A0JA,TCGA-AO-A0JF,TCGA-AO-A0JG,TCGA-AO-A0JJ,TCGA-AO-A125,TCGA-AO-A126,TCGA-AO-A12A,TCGA-AO-A12C,TCGA-AO-A12E,TCGA-AO-A12G,TCGA-AO-A12H,TCGA-AQ-A04L,TCGA-AR-A0TR,TCGA-AR-A0TW,TCGA-AR-A1AK,TCGA-AR-A1AL,TCGA-AR-A1AN,TCGA-AR-A1AP,TCGA-AR-A1AS,TCGA-AR-A1AU,TCGA-AR-A1AW,TCGA-AR-A1AX,TCGA-B6-A0I5,TCGA-B6-A0I8,TCGA-B6-A0IA,TCGA-B6-A0IG,TCGA-B6-A0IH,TCGA-B6-A0IN,TCGA-B6-A0IO,TCGA-B6-A0IP,TCGA-B6-A0RG,TCGA-B6-A0RI,TCGA-B6-A0RM,TCGA-B6-A0RN,TCGA-B6-A0RO,TCGA-B6-A0RP,TCGA-B6-A0RQ,TCGA-B6-A0RV,TCGA-B6-A0WS,TCGA-B6-A0WT,TCGA-B6-A0WY,TCGA-B6-A0WZ,TCGA-B6-A0X0,TCGA-B6-A0X4,TCGA-B6-A0X7,TCGA-BH-A0AZ,TCGA-BH-A0B0,TCGA-BH-A0B1,TCGA-BH-A0B4,TCGA-BH-A0B8,TCGA-BH-A0BA,TCGA-BH-A0BC,TCGA-BH-A0BJ,TCGA-BH-A0BM,TCGA-BH-A0BO,TCGA-BH-A0BP,TCGA-BH-A0BQ,TCGA-BH-A0BR,TCGA-BH-A0BS,TCGA-BH-A0BT,TCGA-BH-A0BV,TCGA-BH-A0C1,TCGA-BH-A0DE,TCGA-BH-A0DG,TCGA-BH-A0DH,TCGA-BH-A0DI,TCGA-BH-A0DK,TCGA-BH-A0DO,TCGA-BH-A0DP,TCGA-BH-A0DQ,TCGA-BH-A0DS,TCGA-BH-A0DT,TCGA-BH-A0DX,TCGA-BH-A0E1,TCGA-BH-A0E2,TCGA-BH-A0E7,TCGA-BH-A0E9,TCGA-BH-A0EA,TCGA-BH-A0EB,TCGA-BH-A0EI,TCGA-BH-A0GY,TCGA-BH-A0GZ,TCGA-BH-A0H3,TCGA-BH-A0H5,TCGA-BH-A0H6,TCGA-BH-A0H7,TCGA-BH-A0H9,TCGA-BH-A0HA,TCGA-BH-A0HB,TCGA-BH-A0HF,TCGA-BH-A0HI,TCGA-BH-A0HK,TCGA-BH-A0HO,TCGA-BH-A0HP,TCGA-BH-A0HQ,TCGA-BH-A0HX,TCGA-BH-A0W4,TCGA-BH-A0W5,TCGA-BH-A0W7,TCGA-BH-A18H,TCGA-BH-A18I,TCGA-BH-A18M,TCGA-BH-A18N,TCGA-BH-A18S,TCGA-BH-A18T,TCGA-BH-A1EO,TCGA-BH-A1ES,TCGA-BH-A1ET,TCGA-BH-A1EU,TCGA-C8-A12N,TCGA-C8-A12O,TCGA-C8-A12Y,TCGA-C8-A132,TCGA-C8-A133,TCGA-C8-A1HI,TCGA-D8-A141,TCGA-D8-A145,TCGA-E2-A105,TCGA-E2-A106,TCGA-E2-A10B,TCGA-E2-A10E,TCGA-E2-A10F,TCGA-E2-A14Q,TCGA-E2-A14T,TCGA-E2-A14Z,TCGA-E2-A153,TCGA-E2-A154,TCGA-E2-A156,TCGA-E2-A15C,TCGA-E2-A15D,TCGA-E2-A15E,TCGA-E2-A15F,TCGA-E2-A15G,TCGA-E2-A15H,TCGA-E2-A15I,TCGA-E2-A15J,TCGA-E2-A15O,TCGA-E2-A15P,TCGA-E2-A15R,TCGA-E2-A1B1,TCGA-E2-A1B4,TCGA-E2-A1B6,TCGA-E2-A1BC,TCGA-E2-A1BD
CD82,0.96375,1.16775,0.9520000000000001,-0.16575,0.0305,0.99025,0.94225,1.208,-0.10775,0.88375,0.374,2.156,1.3805,1.439,1.18525,1.52825,1.74375,1.0070000000000001,0.67875,-0.35775,1.3319999999999999,1.531,1.0195,-0.08825,1.35225,0.555,1.1995,1.4180000000000001,-0.201,1.11375,-0.306,0.698,0.86275,-0.21899999999999997,1.712,1.04725,0.6605,1.26225,1.04425,0.15575,0.4325,-0.01325,0.9575,2.09925,1.35325,2.2175,-0.23199999999999998,-0.94325,0.38325,1.5615,1.1405,0.3185,1.0105,1.36,1.5905,-0.039,0.2945,1.0205,0.9079999999999999,0.9505,0.889,1.055,1.0465,-0.02925,2.428,1.2945,0.54825,1.396,1.9305,0.368,0.1005,1.15075,0.82525,-0.26725,-0.15375,-0.29975,1.34175,1.9185,1.72675,1.14975,1.6655,-0.8475,0.308,1.36225,1.06875,1.35475,-0.33225,1.3445,0.7745,0.6305,1.34175,1.6440000000000001,0.87975,0.9095,1.15825,0.59075,0.3985,-0.97075,2.7910000000000004,0.98825,0.052000000000000005,0.8225,1.13375,0.5335,2.4525,0.47600000000000003,0.44125,0.33275,1.06775,1.48025,1.15725,1.44,1.3665,1.64925,-0.09825,-0.8035,0.841,-0.36625,0.1275,0.5265,0.64175,1.88475,0.0865,1.39675,1.5930000000000002,2.23975,1.1465,1.0295,1.8090000000000002,1.6675,-0.09725,1.03925,0.91175,2.24025,2.0535,0.67975,0.5345,2.09525,1.7225,1.60475,1.50525,1.03275,0.578,1.1225,1.023,1.94825,-0.27175,1.18925,1.3019999999999998,0.667,0.61725,2.184,1.4280000000000002,0.5185,1.1455,1.406,0.963,1.25125,-0.18575,1.11775,1.0525,0.04925,1.074,0.71175,1.45575,0.82725,0.7805,1.4725,0.51125,0.9125,1.74425,1.6955,1.645,-0.022000000000000002,0.589,-0.13175,0.91875,0.28800000000000003,-0.445,-0.3675,1.682,1.2465,0.429,0.5325,1.11025,0.86875,0.433,1.9685,0.70625,-0.64525,1.72225,0.451,0.96325,0.6275,0.18875,0.8290000000000001,1.2590000000000001,0.74275,0.023,0.7140000000000001,-0.34225,-0.153,1.67975,0.13625,-0.24275,-0.3975,1.08225,1.7505,1.42625,0.78975,0.25875,1.222,1.3865,0.93225,0.866,1.4825,0.142,1.083,0.2515,1.264,1.354,0.555,1.16375,0.44775,-0.31325,0.172,1.43475,0.65725,1.0525,2.32675,0.1635
RICTOR,0.024,-1.1586,-1.1988,-0.586,-0.0151,-0.9298888888888891,-0.6793,-0.6345,-0.8340000000000001,-1.114,-0.3634,-0.8884,-0.9726,-0.8311,-1.446,-0.5814,-0.5842,-0.3806,-0.6554,-0.3699,-0.8455,-0.7783,-1.3181,-1.0403,-0.9,-1.1373,-0.3437,-0.35700000000000004,-0.1825,-0.6418,-0.6996,-0.8754,-0.5142,-0.6815,-1.2132,-1.232,-0.106,-1.7169,-0.5751,-1.012,-1.1833,-0.8825,-1.3221,-0.7864,-1.2924,-1.3659,-1.0105,-0.5251,-0.8058,-0.9198,-1.0044,-0.7558,-1.334,-0.8159,-0.3635,-0.7777,-0.7007777777777779,-1.5628,-0.9794,-0.5499,-0.8458,-0.1752,-0.9384,-0.7565,-0.4659,-1.0063,-0.7461,-1.1481,-1.6845,-0.6799,-0.9852,-1.1581,-0.365,-1.0637,-0.8455,-1.2821,0.1188,-0.9259999999999999,-0.9812,-0.5102,-0.7987,-0.1795,-0.7926,-1.128,-0.5164,-1.7537,-0.8975,-1.9287,-1.101,-0.1926,-1.0002,-1.084667,-0.4968,-0.7584,-0.4913,-0.6614,-1.5206,-0.9491,-0.8486,-0.4276666666666671,-0.3358,-0.4496,-1.3523,-1.65744444444444,-0.4847,-1.15433333333333,-0.6488,-0.3802,-0.6358,-1.0008,-1.4669,-1.5426,-1.3087,-0.6303,-1.3458,0.2071,-1.4964,-0.6621,-1.1299,-0.4536,-0.7979,-0.6975,-0.9664,-0.1765,-0.8539,-1.0471,-0.9762,-0.7424,-1.2863,-1.27477777777778,-0.4424,-0.3087,-0.8809,-1.43044444444444,-1.1871,-1.2158,-0.4811,-1.2964,-1.3792,-1.2309999999999999,-0.6908,-1.0286,-0.0411,-1.0918,-1.2163,-1.3502,-1.3202,-1.1226,-1.2467,-0.8562,-0.7203,-0.7829,-1.1337,-0.9098,-0.6009,-0.5955,-0.7224,-0.6191,-0.8362,-1.0088,-1.5356,-0.9622,-0.9994,-0.5397,-1.0233,-0.937,-0.6494,-1.5141,-0.769333333333333,-1.1884,-0.6505,-0.8383,-1.6607,-1.51022222222222,-1.3377,-0.7204,-0.9871,-1.0972,-1.4591,-0.6841,-0.6417,-1.10677777777778,-0.7028,-0.5429,-0.0034,-0.8887,-0.6118,-0.7193,-0.7203,-0.0597,-0.94,-1.1133,-0.9442,-0.4193,-0.3937,-0.2697,-0.924,-1.3242,-0.5555,-0.7201,-0.8029,-0.8089,-0.9049,-0.7767,-0.6706,-0.2878,-1.1129,-1.1707,-0.8963,-0.9874,0.0616,-0.3542,-0.8854,-0.8251,-0.5099,-1.0774,-1.1257,-0.4235,-0.5517,-0.3783,-0.4096,-0.3903,-0.596,-1.0749,-0.6126,-0.7264,-0.4454,-0.3286,-0.1201,-0.5234,-0.28688888888888897
POLD2,-1.21516666666667,-0.8073333333,-1.212,-1.230667,-2.3325,-1.08416666666667,-1.408167,-1.7915,-1.4166666666999999,-1.5188333333333301,-0.717666666666667,-0.8378333333,-1.4978333333333302,-0.636333333333333,-1.089,-1.045667,-1.4516666666999998,-1.8888333333333303,-1.041,-1.4865,-0.971833333333333,-0.963,-1.01716666666667,-1.009333,-0.7426666667,-0.8185,-1.450833,-1.1631666667,-1.012,-1.564333,-0.9701666666666671,-0.9740000000000001,-1.013667,-1.3511666666666697,-1.4243333333333301,-1.0756666667,-0.613,-0.742166666666667,-1.3898333333000001,-0.478,-0.4573333333333329,-1.19966666666667,-1.035,-0.820166666666667,-1.003833,-0.735666666666667,-0.129,-1.13116666666667,-0.8946666667000001,-0.88,-0.306333333333333,-0.8533333332999999,-0.643833333333333,-0.7943333,-0.798166666666667,-1.008833,-0.792,-0.48183329999999996,-1.18766666666667,-0.892666666666667,-0.8891666667,-1.34983333333333,-0.558666666666667,-0.8373333000000001,-0.6345,-0.9961667,-0.911166666666667,-0.9741666666666671,-0.4836666666666671,-0.862333333333333,-0.791666666666667,-1.9975,-1.27733333333333,-1.29183333333333,-0.3881666666666671,-2.3518333333333303,-1.109,-0.8618333,-0.940166666666667,-1.1596666667,-1.6576669999999998,-1.385167,-1.0883333333,-0.5378333000000001,-0.46583333333333293,-1.04516666666667,-1.6073333333333302,-0.693666666666667,-1.5203333333333302,-1.0806666667,-0.916333333333333,-1.269167,-1.1331666667,-1.23633333333333,-0.57,-0.6629999999999999,-1.11583333333333,-0.7263333333333329,-0.7773333333,-0.0776666666666667,0.4308333,-1.2045,-0.3648333333333329,-0.9065,-1.0345,-0.096,-0.7075,-0.426,-1.5733333333333301,-1.5265,-1.0653333333,-1.9133333333333302,-0.6905,-1.799667,-1.2145,-1.11866666666667,-1.042,-1.05833333333333,-0.7725,-1.038833,-1.2845,-0.8220000000000001,-1.133167,-1.8685,-0.439,-0.5605,-0.8035,-1.3195,-0.6118333333,-0.340333333333333,-0.4785,-1.143333,-0.2295,-0.6548333333333329,-1.0390000000000001,-0.8936666667000001,0.0935,-1.20366666666667,-0.3825,-0.658166666666667,-1.7703333333333302,-1.35566666666667,-1.4548333333,-0.7288333333,-0.739166666666667,-1.1533333333,-0.77,-0.28133333333333305,-0.3723333333333329,-1.40016666666667,-1.3,-1.158833,-0.8413333333333329,-0.744166666666667,-0.7795,-0.8501666667000001,-1.4075,-1.26533333333333,-1.5959999999999999,-1.1953333333,-0.47566666666666707,-0.8846666999999999,-1.3731666666666698,-0.6718333000000001,-1.2825,-0.6941666999999999,-0.818833333333333,-0.617166666666667,-1.4136666666666697,-1.29866666666667,-1.5593333333333301,-1.7368333333333301,-1.017333,-0.963666666666667,-0.6745,-1.1175,-1.04766666666667,-1.1391666667,-0.628,-0.7273333333333329,-0.48433329999999997,-1.56983333333333,-0.27683333333333304,-0.9735,-1.5051666666999999,-1.1455,-0.777,-0.7668333,-1.1079999999999999,-1.335,-1.06566666666667,-1.32283333333333,-1.6963333333000001,-0.764,-1.4506666666666699,-1.422,-0.8441666666666671,-0.5416667,-1.301,-0.7146666667,-0.23766666666666697,-1.0715,-1.059833,-0.853166666666667,-0.7648333333,-0.7791667,-0.46416670000000004,-0.7438333,-0.9311666667,-1.0245,-0.5191666666666671,-0.9665,-1.32866666666667,0.068,-0.8028333333,-1.5183333333333302,-0.7755,-0.667166666666667,-0.909,-0.9066666999999999,-0.23199999999999998,-1.0641666667,-0.413,-0.6241666667,-1.0288329999999999,-0.42783329999999997,-0.82,-1.9415,-1.4563333333333301,-1.20283333333333,-0.966833333333333
PTCRA,-0.1145,-0.1935,0.10400000000000001,-0.2195,-0.1125,0.05,0.36200000000000004,-0.5835,0.4725,0.0175,-0.484,-0.037000000000000005,-0.1915,-0.249,-0.0515,0.2125,0.519,-0.257,0.3305,-0.708,-0.040999999999999995,0.1375,0.04,0.4285,-0.0435,0.0565,0.44,-0.111,-0.2325,0.28800000000000003,1.2625,0.626,-0.33399999999999996,-0.0495,0.4405,0.6575,-0.552,1.1615,-0.1655,0.1355,0.039,-0.45,-0.141,0.1915,-0.1005,1.3785,0.7390000000000001,-0.2845,-0.021,0.4165,-0.1125,0.078,-0.142,0.05,0.4285,-0.165,-0.10300000000000001,-0.475,-0.5760000000000001,-0.113,-0.1255,-1.015,0.3425,-0.0805,-0.737,0.324,0.655,0.5235,0.5905,0.1095,0.4875,0.326,-0.8725,0.6955,-0.6875,0.2695,-0.584,0.179,0.0295,0.8935,0.366,-0.1075,-0.162,0.6925,-0.3585,0.9420000000000001,1.527,0.8455,-0.111,-0.0225,0.29600000000000004,0.0975,0.053,0.0585,0.1145,-0.285,0.354,-0.2605,0.015,-0.024,0.7015,0.6115,0.069,-0.2135,0.068,-0.2675,-0.408,0.3215,1.911,0.9115,-0.268,0.1085,0.02,-0.4235,1.0885,-0.0305,-0.3685,-0.2585,-0.0575,-0.6095,0.07400000000000001,0.616,0.182,-0.2455,0.6775,0.7759999999999999,-0.0985,0.3415,0.0115,0.10099999999999999,-0.105,-0.4475,0.4355,0.5135,-0.146,0.0955,-0.3815,0.7435,0.9475,-0.091,-0.075,-0.231,-0.23,0.0645,0.1055,0.1045,0.222,0.6275,0.1515,0.3715,1.202,0.2485,-0.040999999999999995,0.7395,0.3585,0.1915,-0.0985,-0.6635,0.355,1.494,-0.027000000000000003,0.1695,-0.478,-0.4995,-0.24100000000000002,0.3775,-0.16,0.5085,-0.1115,0.6125,2.0435,-0.10800000000000001,0.1845,-0.11199999999999999,-0.17600000000000002,0.494,1.2155,0.1655,-0.1575,1.406,-0.2725,0.10800000000000001,-0.1195,-0.2295,-0.0045,0.638,-0.1385,0.048,0.0465,-0.594,0.133,0.33899999999999997,0.47,-0.109,-0.2745,0.3795,0.026000000000000002,0.1705,0.147,-0.429,1.3765,0.021,0.17600000000000002,-0.28300000000000003,0.055,0.064,0.1375,0.23399999999999999,0.5435,-0.052000000000000005,0.4095,0.473,0.375,-0.1675,-0.1935,-0.243,-0.418,-0.7095,-0.0555,-0.7765,-0.195,0.319,-0.1585,-0.4585,-0.28300000000000003,0.0005,0.732,0.027000000000000003,0.8290000000000001,-0.205,-0.2375
FST,-1.5395,-2.68,-0.14625,-2.983,-1.31775,-3.94875,-4.2219999999999995,-1.6725,-4.404,-1.33475,-4.38375,-2.88,-2.20725,-4.0815,-1.95175,-2.511,-2.16275,-2.48775,-5.02375,-3.285,-2.97125,-2.136,-2.08925,-3.2755,-3.8475,-1.499,-1.3615,-3.08175,-4.0915,-2.16675,-2.7175,-3.58825,-3.1775,-3.89675,-3.1630000000000003,-1.474,-4.80925,-1.96225,-2.271,-3.8885,-3.54675,-4.4915,-3.26775,-3.91575,-1.2209999999999999,-1.7785,-4.46,-3.9235,-3.38775,-4.05625,-3.7195,-2.55625,-3.25725,-2.0045,-3.72975,-4.31625,-4.0575,-3.0380000000000003,-2.9725,-2.617,-2.062,-0.9229999999999999,-1.7325,-1.46225,-3.36575,-3.35075,-2.00625,-1.452,-3.694,-3.1910000000000003,-2.76175,-1.36425,-3.878,-3.3930000000000002,-4.5935,-3.9665,-3.14675,-1.069,-1.67825,-2.37575,-2.77,-4.1415,-2.33775,-4.404,-3.54525,-2.7495,-3.64625,-3.05325,-3.015,-4.1375,-2.98775,-4.84025,-1.61425,-2.39225,-1.93325,-4.217,-3.92325,-3.72525,-3.877,-5.20825,-4.7595,-3.1745,-3.87325,-2.521,-3.5935,-4.5695,-3.66825,-4.052,-4.428,-2.49675,-4.1395,-3.1639999999999997,-3.66175,-3.332,-3.9325,-4.2365,-2.78775,-3.0695,-3.2560000000000002,-3.60075,-1.2329999999999999,-4.21225,-1.9935,-2.63725,-4.15075,-2.7315,-2.15,-2.58725,-2.5275,-3.6705,-1.651,-1.6385,-1.94525,-1.0090000000000001,-3.55725,-3.4845,-4.40525,-2.39175,-3.59225,-3.57725,-1.915,-1.2305,-2.9185,-2.301,-3.116,-2.96725,-4.58625,-2.8755,-3.46525,-2.65175,-1.922,-3.307,-2.1605,-2.758,-2.69075,-1.7605,-3.9835,-3.6525,-2.88525,-3.24925,-3.74075,-3.181,-3.177,-2.45825,-1.5725,-3.3475,-0.19875,-3.61675,-3.25525,-1.5885,-3.50975,-2.20675,-2.74625,-4.4885,-2.8925,-4.21025,-2.22125,-3.78275,-4.53875,-4.823,-3.378,-1.9575,-2.90925,-2.12675,-2.44375,-2.70925,-3.77475,-2.42675,-2.87425,-2.42275,-4.1485,-3.64225,-2.43275,-2.1935,-2.76075,-3.083,-2.01425,-3.2430000000000003,-3.44325,-2.61,-2.05475,-1.84775,-2.38325,-2.988,-5.0015,-3.6435,-1.472,-4.2675,-1.9455,-3.35625,-3.38875,-3.8815,-0.6105,-2.36625,-4.84725,-1.96825,-2.86225,-2.7910000000000004,-3.1275,-3.742,-3.15775,-2.40875,-4.4545,-3.2395,-2.58075,-4.175,-2.68325,-0.84975,-3.7675,-1.9195,-2.85825
E2F4,-1.5802,-1.2061,-1.0858,-0.809,-1.9405,-1.6233,-0.9043,-1.5481,-1.2594,-1.7178,-1.4599,-1.0893,-1.3572,-1.4764,-1.7581,-0.8209,-1.53,-1.256,-0.6816,-1.331,-1.5693,-1.0143,-1.7096,-1.4366,-1.0097,-1.2737,-1.0335,-0.7665,-1.4861,-1.2296,-1.5151,-0.7031,-1.4392,-1.4372,-1.7506,-1.3608,-0.8921,-1.617,-1.4268,-1.557,-1.1887,-1.0082,-1.0103,-1.2268,-1.4592,-0.7076,-1.4416,-1.2978,-1.6329,-1.4232,-1.4085,-1.3235,-1.4516,-1.0634,-1.4718,-1.4254,-1.9918,-1.3362,-0.8719,-1.3238,-1.1329,-1.5747,-1.1076,-1.4749,-1.629,-0.9906,-1.0227,-1.6824,-1.1642,-0.9782,-1.2143,-1.2952,-1.8281,-0.935,-1.4038,-1.1456,-1.3168,-0.765,-1.8630000000000002,-1.7227,-1.6968,-1.4006,-0.9246,-0.4699,-0.4192,-1.3840000000000001,-1.245,-0.9907,-1.1805,-1.0662,-1.2689,-1.6332,-1.3880000000000001,-0.9079,-1.2464,-1.1905,-1.2958,-1.0731,-0.2015,-0.2544,-0.7248,-1.2091,-0.8184,-0.9881,-1.016,-0.2292,-1.0797,-0.3925,-1.3732,-1.6162,-1.4178,-2.2718,-0.72,-1.4012,-1.1655,-0.606,-1.4847,-1.6174,-1.1929,-1.5744,-1.6756,-1.1481,-1.2973,-1.4802,-1.5746,-1.1369,-1.2465,-1.1072,-1.9058,-1.5021,-1.0489,-1.5542,-0.6476,-1.1462,-1.1628,-1.2056,-1.264,-1.3491,-1.5032,-0.8664,-1.5881,-0.8068,-1.5504,-0.8721,-0.4805,-1.1162,-1.6022,-0.7344,-1.2621,-1.2021,-1.1685,-1.5839,-0.7248,-1.0277,-1.1781,-1.1493,-0.9017,-1.016,-1.5961,-1.1703,-1.584,-1.4422,-1.5417,-0.6215,-1.5056,-1.1901,-1.1849,-1.0852,-1.1608,-0.8457,-1.4106,-1.421,-1.0811,-0.6751,-1.0331,-1.3129,-1.0281,-1.2334,-1.0986,-1.3931,-1.4004,-1.7688,-1.3938,-1.5697,-0.6196,-1.5611,-0.7744,-1.0597,-1.368,-1.2156,-0.9058,-1.3682,-1.4639,-0.4993,-1.1932,-0.9089,-1.2116,-0.8395,-1.5387,-0.4455,-1.0974,-1.3045,-0.8878,-0.7431,-1.0586,-1.0642,-1.1383,-1.3293,-1.0390000000000001,-1.2781,-0.6970000000000001,-1.5087,-1.5749,-0.8856,-1.4585,-1.4081,-1.1953,-1.1092,-1.5528,-0.6935,-0.6902,-1.4049,-1.3449,-0.8968,-1.0723,-1.3993,-0.21,-1.9319,-1.2227,-1.2513,-1.2256
WNT10B,-2.31225,-2.36225,-1.75025,-2.5535,-2.3405,-1.11075,-1.93775,-2.7275,-2.566625,-2.963125,-1.02375,-2.177,-2.165625,-2.109875,-2.13625,-1.57525,-2.0935,-1.855875,-1.64075,-2.8405,-1.942625,-2.130875,-1.990625,-2.1715,-1.59675,-1.469125,-1.701125,-1.128375,-2.812,-1.980125,-2.7125,-1.968375,-2.406625,-2.99225,-1.7269999999999999,-1.54325,-3.0885,-2.741625,-1.613375,-2.335875,0.11625,-2.55275,-1.448375,-2.703375,-1.62075,-1.982625,-1.408125,-2.497125,-2.25375,-2.650375,-1.2605,-2.509625,-2.031625,-1.95025,-2.82125,-2.8465,-2.681,-2.56925,-2.743125,-2.33675,-1.891125,-2.368375,-1.889125,-1.954,-2.7584285714285697,-1.89975,-3.00975,-0.8905,-0.68925,-1.974375,-2.103125,-1.093625,-1.1295,-1.625625,-1.336875,-2.50525,-1.89925,-1.06125,-1.704125,-2.719125,-2.014125,-2.37475,-1.592375,-1.814875,-2.4965,-2.53925,-1.52928571428571,-1.442375,-0.75525,-1.8485,-2.708125,-2.91175,-1.980125,-2.1625,-2.26075,-2.496875,-2.692125,-2.53825,-2.53725,-0.435625,0.0225,-1.95325,-1.68775,-2.942875,-1.881375,-3.12275,-2.347625,-2.40975,-2.399625,-2.169625,-3.37875,-2.493625,-1.30925,-2.378125,-1.6105,-0.798625,-2.318875,-1.61775,-2.87775,-2.5685,-2.376,-2.710625,-1.949375,-2.878125,-2.246625,-2.186375,-2.44275,-2.26475,-2.75975,-2.17,-0.409625,-2.177,-2.35625,-0.953625,-2.565625,-1.9295,-0.93975,-2.0885,-2.298625,-2.03375,-1.72075,-1.884875,-1.915875,-2.664875,-1.96725,-2.110875,-2.388125,-2.2655,-1.74225,-0.88,-2.436625,-2.032875,-1.303875,-1.3445,-2.375375,-1.950125,-1.732125,-2.439125,-2.2415,-1.90775,-2.808875,-1.66225,-3.380625,-1.937875,-2.25675,-1.548375,-0.57725,-1.268875,-3.013625,-1.28175,-1.668875,-2.652875,-1.124375,-1.894875,-1.913875,-2.038625,-2.005875,-2.655375,-0.58125,-2.500625,-2.7319999999999998,-2.560125,-1.986375,-2.41225,-1.319375,-1.1825,-1.5590000000000002,-1.519875,-1.921125,-3.3985,-2.236625,-2.154625,-2.243875,-2.1925,-2.9219999999999997,-1.3695,-2.757375,-1.897875,-2.449375,-0.953625,-1.507625,-2.17525,-1.54675,-1.627875,-0.9225,-2.91375,-0.767625,-2.147,-2.31825,-1.8405,-2.146875,-2.304625,-2.192125,-2.168875,-2.213,-2.112125,-2.07675,-2.81825,-2.038875,-2.9665,-2.45775,-1.894375,-2.83225,-1.287875,-2.629375,-0.3465,-0.761375,-2.4005,-1.428125,-3.095375,-2.8935714285714305
