,TCGA-A2-A04W,TCGA-A2-A04X,TCGA-A2-A0CL,TCGA-A2-A0CX,TCGA-A2-A0CY,TCGA-A2-A0D1,TCGA-A2-A0EQ,TCGA-A2-A0T1,TCGA-A8-A075,TCGA-A8-A076,TCGA-A8-A07B,TCGA-A8-A07I,TCGA-A8-A081,TCGA-A8-A08B,TCGA-A8-A08J,TCGA-A8-A08L,TCGA-A8-A08X,TCGA-A8-A092,TCGA-A8-A094,TCGA-A8-A09G,TCGA-A8-A09X,TCGA-A8-A0A7,TCGA-AN-A04C,TCGA-AN-A0FV,TCGA-AO-A03L,TCGA-AO-A03N,TCGA-AO-A0J2,TCGA-AO-A0JE,TCGA-AO-A12D,TCGA-AR-A0TX,TCGA-AR-A1AT,TCGA-B6-A0I9,TCGA-B6-A0IK,TCGA-B6-A0RH,TCGA-B6-A0RS,TCGA-BH-A0AW,TCGA-BH-A0B7,TCGA-BH-A0DZ,TCGA-BH-A0EE,TCGA-BH-A0HY,TCGA-BH-A18P,TCGA-BH-A18R,TCGA-BH-A1EV,TCGA-C8-A12L,TCGA-C8-A12P,TCGA-C8-A12Q,TCGA-C8-A12T,TCGA-C8-A12Z,TCGA-C8-A130,TCGA-C8-A135,TCGA-C8-A137,TCGA-C8-A138,TCGA-C8-A1HF,TCGA-D8-A13Z,TCGA-E2-A14P,TCGA-E2-A14V,TCGA-E2-A152,TCGA-E2-A1B0
IRAK4,-0.21933333333333302,0.0468333333333334,0.7381667,0.2775,-0.7083333,-1.409333,0.2488333,-0.3746667,-0.6586666667000001,-0.00533333333333334,-0.97,-0.339333333333333,-0.5841666666666671,-0.871,0.4453333333333329,-0.9445,0.7045,-0.5368333333333329,0.5318333000000001,-0.816166666666667,0.489,0.2625,-0.118833333333333,0.436,-0.3956666666666671,-0.8643333000000001,0.9631666667000001,-0.2671667,0.12766666666666698,0.4511666667,-0.8478333,-1.18733333333333,-0.5093333333333329,-0.0948333333333333,0.6723333,-0.07,-0.038,-0.8521666999999999,-0.1375,-0.2986667,0.3031667,-0.3296666667,-0.21416666666666698,0.7335,-0.3801666666666671,0.5911666999999999,0.330166666666667,-0.4385,0.19733333329999997,0.2815,1.0548333333,-0.06,-0.0165,0.3845,-1.0623333333,-0.46299999999999997,0.107833333333333,-0.4495
PRKCA,-1.9582,-2.6043,-1.8221,-1.9256,-2.5106,-2.9732,-2.3675,-1.3448,-2.3485,-2.4908,-2.3412,-2.7584,-2.9103,-2.6387,-2.2657,-2.5305,-2.0031,-3.0636,-2.5692,-2.4178,-2.3064,-1.6494,-3.1882222222222203,-2.6047,-2.5184,-1.7455,-1.2058,-2.0815,-2.3038,-2.4439,-2.0701,-2.4065,-1.6115,-2.9781,-2.2667,-2.4664,-2.4233,-1.466,-2.4998,-2.5873,-2.6238,-2.3512,-2.4074,-0.8752,-1.9732,-2.5388,-2.0755,-2.6449,-2.5099,-1.7557,-2.8516,-2.295,-2.5002,-1.8432,-0.9269,-2.3508888888888904,-2.0141,-2.5447
RPS6KB1,-1.01475,-0.11433333333333301,-0.725,-0.26991666666666697,-1.294917,-1.65525,-0.28291669999999997,-0.8534166999999999,-1.0205833333,0.4175833333333329,-1.00075,0.34941666666666704,-0.92475,-2.144083,1.5341666666666698,-0.836416666666667,-1.15675,-0.640333333333333,-1.936,1.00991666666667,-0.884666666666667,-0.7456666999999999,-1.33183333333333,-1.065,-0.6476666666666671,-0.8189166999999999,-0.46858333329999996,-1.17525,-1.4685,-1.7480833333,-0.8973333,-0.32925,1.59966666666667,-1.02916666666667,-0.7861667,-0.7120833000000001,-0.8125,-0.09883333,-1.5189166666666698,-0.93425,-1.429417,3.5625,-2.1849166666666697,-0.15825,0.4215,-0.29075,-0.8401666666666671,-0.610416666666667,-0.8445833333,-0.2136666667,-1.7431666666999999,-1.2009999999999998,-0.7263333333333329,-1.3426666666666698,0.2201666667,1.03816666666667,-1.6865,-0.3939166666666671
NTRK1,-1.8528333333333302,-1.5673333333333301,-1.319333,-1.21483333333333,-1.6735,-1.5825,-1.392667,-1.5575,-1.5166666667,-1.53533333333333,-1.2016666667,-1.58966666666667,-0.9118333333333329,-1.7256669999999998,-2.01633333333333,-1.6368333333333303,-1.8226666666666698,-1.5861666666666698,-1.387667,-2.1693333333333302,-0.894333333333333,-1.433833,-1.91033333333333,-1.7416669999999999,-1.2895,-1.125833,-1.6943333333000001,-1.2690000000000001,-1.20133333333333,-1.2095,-0.41866670000000006,-2.3085,-2.043,-1.13533333333333,-1.8119999999999998,-1.212667,1.04083333333333,-1.815667,-2.4673333333333303,-1.9108330000000002,-1.7563330000000001,-1.7266666667,-2.0033333333333303,-1.7003333333333301,-1.5723333333333303,-1.835,-0.5365,-2.14916666666667,-1.3153333333,-1.4921666667,-1.6280000000000001,-0.6509999999999999,-1.3565,-1.911,-1.2403333333,-1.6766666666666699,-1.4551666666666698,-2.12866666666667
HES1,2.2379,1.0409,1.2702,9.9999999999989e-05,1.4354,1.131,1.5199,0.5508,0.2693,0.9867,0.6884,1.5295,1.1111,1.0708,0.1595,0.4417,0.6956,0.2252,1.022,1.2209,1.1241,-0.7252,1.3454,0.4989,1.153,1.9738,1.2314,1.1674,1.0095,1.9969,1.3637,1.2667,0.9284,1.0642,3.1331,1.0458,0.9414,0.6079,1.2463,1.2149,1.5222,1.6003,0.4971,0.4548,0.1511,1.0151,1.1517,0.8275,0.4893,1.5548,0.6295,2.3259,0.7070000000000001,1.4032,1.2385,1.2802,1.0798,1.2621
NCOR2,0.1175,0.323666666666667,0.018000000000000002,-0.0615,0.46316670000000004,-0.34,-0.11683330000000001,0.036000000000000004,0.10400000000000001,0.0323333333333333,-0.0548333333,0.2395,-0.414,-0.5083333,0.8015,-0.30216666666666697,-0.23416666666666697,-0.20466666666666697,0.4308333,0.00266666666666666,-0.7345,-0.18866670000000002,-1.064,0.5518333000000001,0.5486666666666671,1.104167,-0.21383333329999998,-0.01316667,-0.333666666666667,-0.2968333333,-0.30783330000000003,-0.0701666666666667,0.565333333333333,-0.0565,-0.38799999999999996,-0.46799999999999997,-0.340833333333333,0.47283329999999996,-0.649333333333333,0.3121667,0.5901666999999999,0.644,0.00133333333333334,-0.24266666666666697,0.23833333333333304,0.5158332999999999,0.312166666666667,-0.253833333333333,0.0631666667,-0.309,-0.0368333333,0.5813333333,0.133333333333333,0.892833333333333,0.003,0.3748333333333329,0.740833333333333,-0.0248333333333333
BCL2,-0.451125,0.661875,1.200625,-0.77325,-2.3755,2.488625,2.782,0.350125,-0.78675,0.829875,2.68375,2.404625,0.851625,-1.612875,-0.33299999999999996,1.880875,0.01725,-0.955,-0.321875,-0.605875,0.072125,0.867625,-1.52375,-0.034,2.17925,-0.032875,-1.745625,-0.011625,0.377625,0.938125,-0.22325,1.3419999999999999,-0.635,0.536375,1.43775,0.302875,0.840125,1.912125,-1.8035,0.938125,2.6395,2.102375,-0.63975,-1.248,-1.1975,-0.222375,1.308,-1.97475,1.5095,-0.298625,-1.320625,0.076625,0.65275,-0.798375,-0.4445,1.192875,0.729125,-0.415375
BIRC7,-0.693,-0.18375,-1.4355,-0.59075,-0.81975,-1.3159999999999998,-0.7265,-0.75575,-0.76425,-0.386,-0.88275,-0.52825,-0.84675,-0.75225,-0.36425,-0.79625,-0.49825,-1.04075,-0.1985,-0.47225,-0.59775,0.22925,-0.56225,-0.84975,-1.0135,-0.70025,-0.71975,-0.922,-0.718,-1.331,-0.1525,-0.89625,-1.0285,-1.05925,-0.027999999999999997,0.43275,-0.35375,-0.37575,-1.4995,-1.10475,-0.9185,-1.14875,-1.078,-1.0375,-0.51925,-0.94525,-1.15975,-1.0835,-0.856,-0.833,-0.991,-0.68075,-0.466,-0.9445,-0.156,-1.155,-0.408,-0.53725
IRS1,-0.2706,-2.372,0.0651,-0.2658,-1.2194,-1.4626,-0.9035,-1.2271,-0.7533,-0.6583,-0.8771,0.6467,0.9524,-0.1415,0.1643,0.30077777777777803,-0.7573,0.1138,-0.4514,-0.3186,-1.3531,-1.5357,-2.4619999999999997,0.7364,0.3955,0.215,-0.3182,0.2276,-1.0725,-0.7178,-0.6534,-1.0957,0.6954,-0.3047,-0.5376,-2.1031,-0.0068,0.0211,-3.1306,0.5966,-0.8407,-0.9652,-0.3024,0.1079,-1.4344,-0.4494,0.3497,-0.8359,-0.2871,-0.9229,-0.9051,-0.9507,-1.0272,-1.6673,-0.2956,-0.5565,-0.5134,-0.3324
WNT6,-1.2145,0.230214285714286,-0.2538571,0.297714285714286,0.8895,3.696357,0.6666429,-0.1190714,-0.32592857140000003,-0.673642857142857,-0.5696428571,-0.504428571428571,0.9318571428571429,0.04585714,-0.34328571428571397,0.8905714285714279,1.6232142857142902,-0.45307142857142896,-0.3930714,-0.3365,-0.323857142857143,0.3612857,0.0508571428571429,-0.7012857,-0.17742857142857102,0.47042860000000003,0.8822142856999999,-0.08307143,0.943285714285715,1.5377142857,-0.027999999999999997,-0.839642857142857,0.34335714285714297,0.8177142857142858,-0.28857140000000003,0.2852143,-0.130928571428571,-0.07014286,-0.594428571428572,1.147714,-0.33992859999999997,-0.1994285714,-0.9092857142857141,-0.9480714285714291,1.18171428571429,-0.4089286,-1.3325,1.1571428571428601,-0.2640714286,1.1306428571,-0.5159285714,0.7763571429,-0.139,-0.49592857142857105,2.0357857143,0.5915384615384611,-0.261357142857143,2.0175
