,TCGA-A2-A04W,TCGA-A2-A04X,TCGA-A2-A0CL,TCGA-A2-A0CX,TCGA-A2-A0CY,TCGA-A2-A0D1,TCGA-A2-A0EQ,TCGA-A2-A0T1,TCGA-A8-A075,TCGA-A8-A076,TCGA-A8-A07B,TCGA-A8-A07I,TCGA-A8-A081,TCGA-A8-A08B,TCGA-A8-A08J,TCGA-A8-A08L,TCGA-A8-A08X,TCGA-A8-A092,TCGA-A8-A094,TCGA-A8-A09G,TCGA-A8-A09X,TCGA-A8-A0A7,TCGA-AN-A04C,TCGA-AN-A0FV,TCGA-AO-A03L,TCGA-AO-A03N,TCGA-AO-A0J2,TCGA-AO-A0JE,TCGA-AO-A12D,TCGA-AR-A0TX,TCGA-AR-A1AT,TCGA-B6-A0I9,TCGA-B6-A0IK,TCGA-B6-A0RH,TCGA-B6-A0RS,TCGA-BH-A0AW,TCGA-BH-A0B7,TCGA-BH-A0DZ,TCGA-BH-A0EE,TCGA-BH-A0HY,TCGA-BH-A18P,TCGA-BH-A18R,TCGA-BH-A1EV,TCGA-C8-A12L,TCGA-C8-A12P,TCGA-C8-A12Q,TCGA-C8-A12T,TCGA-C8-A12Z,TCGA-C8-A130,TCGA-C8-A135,TCGA-C8-A137,TCGA-C8-A138,TCGA-C8-A1HF,TCGA-D8-A13Z,TCGA-E2-A14P,TCGA-E2-A14V,TCGA-E2-A152,TCGA-E2-A1B0
CD82,1.33725,0.9785,0.84025,0.9215,0.47675,0.90675,1.0490000000000002,1.7245,1.7075,1.1025,0.89275,0.496,-0.06725,1.34475,0.013000000000000001,1.2815,2.0435,0.789,1.9,1.24425,2.5395,2.4505,1.899,0.8755,0.6709999999999999,0.7405,1.62025,1.67075,0.6755,1.65075,1.57175,-0.31275,1.6535,1.48125,2.11875,0.7725,1.65725,1.0055,1.59375,1.7875,1.22075,0.3635,-0.14675,1.16525,1.6645,1.0605,0.39525,1.508,1.15125,1.46025,1.9815,0.693,-0.24100000000000002,1.2885,1.7855,0.76525,2.128,1.63225
RICTOR,-1.0081,-0.624,-0.0215,-0.5771,-1.7064,-0.9439,-0.5920000000000001,-0.7914,-0.8625,-1.1955,-1.2259,-0.6697,-1.3248,-1.4201,-0.626,-1.3188888888888899,-0.7521,-1.1436,-1.2748,-1.5413,-1.0711,-0.9081,-0.5942,-1.2108,-0.7823,-0.9790000000000001,-1.419,-1.2284,-0.5447,-1.1088,-1.6029,-0.7406,-1.1017,-1.89511111111111,-1.2836,-1.5482,-1.5521,-0.9609,-1.0557,-1.1978,-0.8918,-0.9619,-1.7074,-0.7044,-1.1505,-0.5416,-1.1481,-1.9369999999999998,-0.9945,-0.9869,-1.2047777778,-1.4034,-1.5574,-1.1503,-1.0133333333,-1.5024,-1.2064,-0.574222222222222
POLD2,-0.4065,-0.962333333333333,-0.9681666999999999,-1.4138333333333302,-0.4921667,-1.443167,-1.471667,-1.1505,-0.5013333333,-0.627166666666667,0.139,-0.38299999999999995,-0.23166666666666696,-0.726,-1.29616666666667,-0.907333333333333,0.197666666666667,-1.03683333333333,0.15633329999999998,-0.635833333333333,-0.766333333333333,-1.242,-0.989666666666667,1.225833,-0.632666666666667,-1.9498330000000001,-1.6221666666999999,-1.114667,-1.10433333333333,-0.9445,-0.303,-1.7033333333333303,-0.6055,-0.5445,-0.943,-0.5421667,-0.765833333333333,-0.537,-1.17666666666667,-0.37566669999999996,-0.7768333000000001,0.0641666667,-0.11383333333333301,-0.785166666666667,-0.143166666666667,-0.5353333,-0.29516666666666697,-0.6023333333333329,-0.1331666667,-0.6448333333,0.060666666699999997,-1.2093333333,-1.1465,-0.609,-0.006833333299999999,-0.888,-0.939666666666667,-0.680333333333333
PTCRA,-0.0205,0.9915,1.489,0.4915,0.0535,-0.3725,0.7090000000000001,0.33899999999999997,-0.009000000000000001,0.29,-0.4975,0.3805,1.875,0.2295,0.0024999999999999896,0.408,-0.149,0.1805,0.3045,0.7525,0.6459999999999999,1.663,0.2405,-0.177,-0.2605,0.516,0.1405,0.7505,0.0515,0.8995,0.5395,0.3055,0.013999999999999999,0.2425,0.6455,1.1535,0.4345,0.1445,0.24,0.0345,0.1975,0.5295,0.1485,-0.258,0.6735,0.7925,-0.3825,0.1935,0.423,-0.20800000000000002,-0.047,0.0265,0.401,0.872,0.1055,0.2045,0.0155,0.079
FST,-2.59225,-3.85425,-3.095,-2.18875,-3.80975,-4.624,-4.6815,-3.802,-4.07125,-3.97325,-2.2475,-3.6830000000000003,-4.37675,-4.1595,-3.322,-4.833,-3.3965,-3.6415,-3.40775,-4.35825,-3.35325,-2.00725,-4.421,-2.6,-3.40575,-3.195,-3.93275,-2.076,-2.79525,-4.79175,-4.2185,-4.0725,-4.00025,-2.80575,-4.53575,-3.94175,-3.3685,-2.80925,-3.9235,-2.8125,-3.45675,-5.073,-2.2975,-3.73475,-3.4360000000000004,-3.042,-3.20875,-4.00375,-3.325,-3.89125,-2.9905,-2.38875,-3.1125,-3.9135,-4.07325,-3.19875,-3.4235,-4.0935
E2F4,-0.9715,-0.9848,-0.627,-1.1618,-1.1340000000000001,-1.2990000000000002,-1.4908,-1.1492,-1.0622,-1.0186,-1.4188,-0.8735,-0.7785,-1.1044,-0.8019,-0.8809,-1.0173,-1.3106,-0.8705,-1.117,-0.6633,-1.2409,-1.1466,-0.7717,-0.9963,-1.1963,-0.6954,-0.9837,-0.8711,-0.4483,-0.8453,-1.3495,-0.4351,-1.2699,-1.018,-1.2628,-1.0814,-1.3667,-1.5186,-0.9376,-1.3117,-0.6596,-0.9313,-0.8643,-0.9013,-0.7099,-0.7502,-1.5354,-1.1969,-1.0647,-1.5225,-1.0057,-1.6711,-0.9159,0.6156,-1.5068,-0.5548,-0.8105
WNT10B,-1.864625,-1.673,-1.538,-0.5885,-0.4925,-2.744375,-1.5845,-1.066625,-0.7535,-2.25775,-2.122125,-1.0615,-0.01,-1.817875,-2.248,-1.474125,-0.8385,-2.351875,-2.271375,-1.127,0.015375,-1.2965,-2.744375,-2.6455,-1.963375,-1.901875,-1.7745,-1.315875,-0.512625,-1.032625,-1.518625,-1.996125,-2.088375,-2.38325,-2.479875,-1.977625,-1.49525,-1.5785,-2.343625,0.626625,-2.176875,1.836375,-1.712625,-2.20675,-2.610875,-2.573125,-2.512375,0.323375,-2.336375,-2.77425,-2.40625,-1.567625,-1.7675,-2.46875,-2.094625,-2.238875,-1.91975,-1.469125
ZFYVE9,0.159,0.5115,-0.023375,0.685285714285714,-0.789625,0.795,-0.00625,-1.143625,-0.319875,-0.0837142857142857,-0.40275,0.37225,-0.098875,0.11425,-1.1035,0.6890000000000001,-0.165875,-1.63875,0.41,-1.76925,0.6054285714285711,-0.702125,0.118571428571429,-0.429,0.068125,-1.09875,-1.355875,-0.737375,-1.0979999999999999,0.0655,-0.51075,0.257125,-0.836125,-0.102125,-0.52325,-0.715875,-1.58975,-0.37325,-0.311375,-2.538625,-0.11699999999999999,-0.764,-1.512125,0.395125,-0.009874999999999991,-0.026000000000000002,-1.283125,-0.849875,-0.81725,-1.312625,-0.356625,-0.6125,-1.04025,-0.68325,-0.872125,-0.620125,-1.2705,-0.498375
EIF4E,0.0649545454545455,-0.45380952380952394,0.02154545,0.16459090909090898,-0.12572730000000001,0.4432273,-0.08677273,0.0135,-0.3199545455,-0.0605238095238095,0.3567727273,0.18590909090909102,-0.15395238095238098,-0.6161364,-0.00040909090909089103,-0.48813636363636403,-0.5936363636363641,0.20057142857142898,0.44536359999999997,-0.550227272727273,-0.17468181818181797,0.1605,0.39468181818181797,-0.03822727,0.294,-0.20668179999999997,0.28800000000000003,0.07231818,1.24004545454545,0.2901818182,0.3878636,1.0100454545454498,0.17954545454545498,-0.8634090909090909,-0.3294091,-0.22713640000000002,0.25718181818181796,0.18195450000000002,-0.19763636363636397,0.3298182,0.40127270000000004,0.419,-0.14800000000000002,0.292590909090909,0.10268181818181801,0.3495455,0.49831818181818205,0.1915,-0.3623636364,0.4115,-0.0180909091,-1.1184545455,0.0569090909090909,-0.283181818181818,-0.8024090909,0.45704545454545503,0.36404545454545506,0.138
MDM2,-1.17858333333333,0.21958333333333302,-0.6790833000000001,-0.0878333333333333,0.7969166999999999,-1.049167,-0.04841667,-0.35925,-0.2025,-0.17800000000000002,-0.209,-0.558166666666667,-0.3586666666666671,-0.3335,0.11,-0.26133333333333303,-0.80025,-0.608,-0.2129167,-0.3533333333333329,-0.00583333333333334,2.0868330000000004,-0.55575,-0.6801666999999999,-0.5861666666666671,0.2704167,-0.677,-0.9101667,-1.449,0.2710833333,-0.616,-0.5383333333333329,-0.5893333333333329,-0.21816666666666698,-0.25266669999999997,-0.2060833,-0.686666666666667,-0.2184167,-0.20241666666666697,-0.7108333,-0.15125,-0.1145,0.1155,-0.80975,-0.927166666666667,-0.15116670000000001,-1.08733333333333,-0.264083333333333,0.1564166667,-0.7696666667000001,-0.50425,0.1075833333,-0.6509999999999999,-0.621166666666667,-0.044000000000000004,-0.17291666666666697,0.19583333333333303,-0.9474166666666658
AKT2,-0.8177142857142858,0.28771428571428603,-0.3312857,-0.5880714285714289,-0.4297143,-1.204143,-0.584,-0.7787857,-0.46464285710000003,-0.806142857142857,-0.30257142859999997,-0.347571428571429,-0.0565714285714286,-0.1899286,-0.6809285714285721,-0.9457857142857142,-0.683142857142857,-0.4945,-0.3459286,-0.6931428571428571,-1.15942857142857,-0.4975,1.03961538461538,-0.5484286,-0.48785714285714293,-0.9222857,-1.1275714286,-0.8610714,-0.336714285714286,-0.6250714286,0.0305,-0.643428571428571,-0.6745,-0.14621428571428602,0.11364289999999999,-0.4629286,-0.559142857142857,-0.6787857,-0.5523571428571429,-0.2953571,-0.4556429,-0.9507142856999999,-0.0103571428571429,-0.816428571428571,-0.6884285714285721,-0.9817857,-0.6755714285714279,-1.4049285714285702,0.0653571429,-0.5535714286,-0.5888571429,0.2052142857,-0.4810714285714289,-0.237142857142857,-0.4035,-0.5086428571428571,-0.5321428571428571,-1.0579230769230799
CCNB2,-2.11688888888889,-1.70055555555556,-1.6466669999999999,-1.7241111111111103,-2.368111,-1.048778,-1.522333,-1.785,-1.0882222222,-1.68055555555556,-1.7361111111,-1.3880000000000001,-1.6046666666666698,-1.378778,-1.8341111111111101,-2.07988888888889,-1.29533333333333,-1.47644444444444,-0.7098889,-1.36355555555556,-1.32266666666667,-2.084111,-1.496,-2.339,-0.734333333333333,-1.8058889999999999,-0.015666666699999998,-1.907889,-2.21,-2.4124444444,-1.804111,-0.9942222222222221,-0.9542222222222221,-2.5462222222222204,-1.651444,-2.195667,-1.81777777777778,-1.2472219999999998,-1.04211111111111,-1.864889,-1.388889,-1.1855555556,-3.53044444444444,-0.269888888888889,-1.56755555555556,-1.8315560000000002,-1.02433333333333,-1.33077777777778,-1.4333333333000002,-2.2934444444,-1.2212222222,-1.9785555556,-1.3211111111111102,-1.74133333333333,-1.082,-0.9440000000000001,-2.1603333333333303,-1.13311111111111
CCNE2,-1.96772727272727,-0.656272727272727,0.07263636,0.0917272727272727,-1.977182,0.9496363999999999,0.8878181999999999,0.7512727,0.9271818181999999,-0.315545454545455,-0.2024545455,0.295909090909091,-0.439,1.394727,0.609818181818182,1.47490909090909,-0.5599090909090911,0.484909090909091,-0.9566363999999999,-0.805272727272727,-0.829272727272727,0.1775455,-0.7216363636363641,-0.9758181999999999,-0.670272727272727,-0.6045455,0.7551818182,-0.9645455,0.414636363636364,-0.8960909091,-0.3924545,0.439090909090909,-1.47563636363636,-0.7607272727272729,0.07654545,-0.5396364,-0.5980909090909089,-0.4124545,0.476181818181818,0.6019091,-0.8829091,-0.11436363640000001,0.140909090909091,0.255818181818182,0.208818181818182,-1.020545,0.8631818181818179,1.0927272727272699,0.1453636364,0.8163636364,-1.5962727273,-1.311,1.3551818181818203,0.814181818181818,-0.4126363636,0.131909090909091,-1.5002727272727299,-0.27854545454545504
RAD50,-0.804625,0.04225,0.252125,-0.7545,-1.15975,-0.525,-1.306375,-0.269625,-0.11025,-0.566625,-0.069625,0.361875,-0.64275,0.248,0.298625,-0.354875,-0.46675,-0.23399999999999999,-0.389,-0.225875,0.30625,-1.2305,-0.578375,-0.00625,0.217125,-0.874875,-0.015375,-0.511125,0.471875,-0.411625,-0.57375,-0.18075,0.060875,-1.219,-0.613625,-0.81875,-0.958375,-1.05,-0.4675,-0.534875,-0.420125,0.05775,-0.23199999999999998,-0.44799999999999995,-0.265875,0.368125,-0.051375,-0.368125,-0.708875,-0.643125,0.30125,-0.765125,-0.785375,-0.171625,-0.60375,0.309,-0.813125,-0.84
INHBE,-0.5185,-1.23116666666667,-1.9351669999999999,-0.6445,0.5163333,-1.7643330000000002,-1.9068330000000002,-0.8811667,-1.3258333333,-1.5225,-0.9785,-1.3525,-1.119,-0.7536666999999999,-2.0285,-1.06633333333333,-2.028,-0.5735,-0.9686667,-1.4669999999999999,-1.3681666666666699,-1.0035,-0.5883333333333329,-0.9813333000000001,-1.6086666666666698,-0.7253333000000001,-1.3196666667,-1.850167,-0.966666666666667,-0.9668333333,-0.5348333000000001,-1.7828333333333302,-1.09766666666667,-0.3825,-1.193667,-1.421,-0.5163333333333329,-0.8905,-1.6311666666666698,-1.9858330000000002,-0.6829999999999999,-1.0476666667,-1.7023333333333301,-0.387,-1.08216666666667,-1.388333,-1.11683333333333,-1.3908333333333303,-0.95,-0.8205,-0.266,-0.2765,-0.873,-1.27433333333333,-0.7492,-1.6301666666666699,-0.6606666666666671,-1.27533333333333
HDAC1,0.147833333333333,-0.306833333333333,0.1383333,-1.04716666666667,0.5088332999999999,-0.7671667,-0.3835,-0.6413333000000001,-0.43733333329999996,-0.850166666666667,-0.78,-2.6095,0.0408333333333333,-0.23516669999999998,-0.595833333333333,0.3896666666666671,-0.9265,-0.676333333333333,0.18866670000000002,-0.4475,-1.04,-0.9231666999999999,-1.4325,-1.217667,-0.703833333333333,-1.129833,-0.2736666667,0.001833333,-1.308,-0.0921666667,0.2185,-0.756333333333333,-0.621666666666667,-0.605666666666667,-1.266833,-0.45533329999999994,-1.16766666666667,-1.572667,0.0981666666666667,-0.6471667,-1.165667,-0.7475,-0.4506666666666671,-0.822833333333333,-0.800666666666667,-0.3531667,-0.138333333333333,-1.22766666666667,-0.22766666670000002,-0.6911666667,-0.6311666667,-0.008,0.054000000000000006,0.732333333333333,-0.0703333333,-0.4685,-0.7185,-1.15583333333333
IL1R1,2.6268333333333302,2.3445,1.6745,1.18683333333333,1.276333,0.5243333,1.564167,2.205833,3.3236666667000003,1.964,3.0076666667,1.22833333333333,-0.0336666666666667,1.459333,0.826333333333333,0.33283333333333304,1.4655,3.3158333333333303,2.0036669999999996,1.3608333333333302,2.1545,2.009,2.622,0.8228333000000001,0.651166666666667,3.278833,1.1763333333,1.903,4.1568333333333305,1.9671666666999998,1.2065,1.9498333333333302,0.909166666666667,1.26783333333333,1.7915,2.1965,2.28083333333333,1.308167,0.3831666666666671,2.163667,1.7861669999999998,0.833,1.6743333333333301,0.664666666666667,2.28166666666667,1.452333,2.7710000000000004,2.4115,0.8101666667,2.7030000000000003,1.4040000000000001,2.3016666667,1.9916666666666698,1.4398333333333302,2.1303333333000003,1.9053333333333302,2.39116666666667,1.65216666666667
RRAGB,1.2109999999999999,0.116833333333333,1.3915,1.0045,-0.8005,0.4296667,0.147,1.428333,0.8671666667,1.9596666666666698,1.1855,0.46399999999999997,0.889,1.0981670000000001,0.7929999999999999,0.7505,1.01666666666667,1.43,1.626333,0.28366666666666696,0.0781666666666667,0.5006667,-0.804166666666667,1.139,0.6579999999999999,-0.0555,-0.9059999999999999,0.06333333,1.9968333333333301,0.5686666667,0.37766669999999997,0.178333333333333,0.3726666666666671,-0.0208333333333333,1.8058330000000002,0.2776667,0.913666666666667,0.16016670000000002,1.1075,0.639,0.8656666999999999,0.3543333333,1.5959999999999999,1.5203333333333302,0.47316666666666707,0.6998333000000001,0.920166666666667,-0.756333333333333,1.0281666667,-0.17666666670000003,0.49883333329999996,-0.027999999999999997,-0.3715,1.6346666666666698,-0.8811666667,0.984833333333333,1.1885,0.17616666666666697
DFFB,-0.6186,-0.2938,-0.3486,-0.1887,-1.1691,1.0814,-0.185,-0.1605,-0.593,-1.0541,-0.3579,-0.4612,-0.5391,0.4066,-0.7827,-0.1646,0.136,-0.4069,-0.2565,-0.5102,-0.2037,-0.2233,-0.4497,-0.5811,-0.3766,-0.7215,-0.1318,-0.8652,-0.6596,-0.1186,-0.7785,-0.3952,-0.1157,-0.3201,-0.574,-0.5837,-0.8513,-0.653,-0.4436,-0.9687,-0.2595,-0.2721,-0.3126,-0.0624,-0.2913,-0.9206,-0.4385,-0.9647,0.188,-0.741,-0.7752,-1.0523,0.3133,-0.1343,-0.7429,-0.1979,-0.7804,0.22699999999999998
AIFM1,0.64025,0.12175,0.165,0.519,-0.3715,0.124,0.162,0.07425,-0.01025,0.064,-1.18475,-0.30975,1.15025,0.09075,0.6825,0.772,0.08175,0.32575,2.39525,0.331,0.26025,-0.21025,0.6015,0.9245,0.142,0.457,1.972,0.165,0.5475,0.34375,-0.21825,0.53175,1.23075,0.036000000000000004,-0.23225,0.2475,0.25025,-0.68,0.80575,-0.62875,-0.16025,0.1,-0.875,0.81825,0.59575,0.9059999999999999,-0.4345,0.054000000000000006,0.42225,0.27075,0.3545,0.20725,0.02125,0.5885,-0.18425,-0.0885,0.44025,0.768
TOP3B,-1.105,-0.809,-0.9745,-0.85725,-0.7515,-0.80475,-1.07,-0.9885,-1.17975,-0.71,-0.36125,-0.24600000000000002,-0.507,-0.54325,-0.8235,-0.64,-0.536,-0.4995,-0.3725,-0.509,-0.7255,-1.13825,-0.82675,-0.7185,-0.491,-1.31025,0.0565,-0.63775,-0.7005,-0.68225,0.10075,-1.7385,-0.4675,-0.22975,-0.693,-0.94925,-0.98,-0.29875,-1.21025,-0.075,-0.632,-0.75175,-0.02925,-1.35475,0.0635,-0.92025,-0.79875,-0.4375,-0.57275,-0.24600000000000002,-0.89925,-0.39425,-0.4625,-0.92775,0.30625,-1.3345,0.08,-0.691
BMPR1A,0.5575,-0.260666666666667,-0.102,0.5275,-0.01,0.5031667000000001,0.3596667,0.3866667,0.2875,-0.08900000000000001,0.4446666667,0.0528333333333333,0.3745,-0.11066669999999999,-0.205,-0.0381666666666667,0.147333333333333,0.603833333333333,-0.5488333000000001,0.145666666666667,-0.24066666666666697,-0.4795,0.7746666666666671,-0.07883333,-0.0958333333333333,-0.34600000000000003,-1.0895,0.775,0.320833333333333,0.37283333329999996,-0.56,1.16116666666667,-0.255166666666667,0.5431666666666671,1.2115,0.2553333,1.0925,0.2221667,1.08233333333333,0.04166667,-0.109,0.877,0.382,0.9790000000000001,0.953166666666667,0.614,0.3725,0.825,0.9113333333,1.0025,0.1585,0.1515,0.1535,0.956833333333333,-0.43533333329999996,0.264166666666667,-0.4235,0.551166666666667
SMAD3,0.0602,-0.4322,-0.3216,-1.2667,-0.2829,-1.5058,-0.92,-1.0718,-1.0359,-1.3802,-1.0143,-0.4848,-0.3811,-0.0295,-0.6823,-0.9777,-1.8381,-1.0409,-1.7715,-1.6026,-1.6273,-0.9159,-0.0846,-1.939,0.0128,-0.7953,-0.9852,-1.1264,-1.4626,-0.8163,-0.3998,0.0187,-1.1818,-0.3885,-2.2711,-1.3886,-0.0304,-0.1743,-0.135,0.0984,0.1875,-0.3437,-0.8537,-1.3268,1.2528,-0.6851,-1.0809,-0.6858,-0.5707,-1.3952,-1.0575,-0.5243,-1.4305,-0.516,-1.1632,-0.6992,-1.2722,-2.0452
PRKAR2A,0.4413333333333329,0.17333333333333303,-0.09166667,-0.337666666666667,-1.1645,-0.447,-0.3876667,-0.382,0.5345,-0.0866666666666667,-0.6433333333,0.0401666666666667,0.0751666666666667,-0.3086667,0.587833333333333,-0.937666666666667,0.565333333333333,0.0286666666666667,0.5401667,1.11133333333333,-0.16866666666666696,-0.2173333,0.0478333333333333,0.0008333333,-0.561,-0.4895,0.3841666667,-0.5916667,0.4123333333333329,-0.4905,-0.6916667,-0.876666666666667,-0.586333333333333,0.00399999999999999,-0.06366667,0.5186667,-0.577833333333333,-0.8945,-0.0788333333333334,-0.6125,-1.198167,-0.2895,-0.4511666666666671,-0.324166666666667,-0.733666666666667,-0.7601667,0.837666666666667,-0.876666666666667,-0.9851666667,-0.4,-0.0436666667,-0.1866666667,-1.16933333333333,-0.575833333333333,-0.19316666670000002,-0.5365,-0.792333333333333,-0.350333333333333
MAP3K14,-0.49575,0.4825,1.20275,-0.01075,-0.44625,0.049,0.9005,0.58925,0.16975,-0.04675,-0.1495,0.506,0.479,0.15025,-0.16325,0.474,0.5589999999999999,0.20025,0.115,0.54625,0.26575,0.85325,-0.484,-0.8155,0.2165,-0.47075,0.885,0.71425,0.59475,0.612,1.06675,-0.214,0.39525,-0.12975,0.18025,0.431,0.80925,-0.6585,0.16975,0.00725,0.13575,0.03,-0.2935,1.08875,0.268,1.0045,-0.514,-0.60725,0.479,-0.15275,-0.25425,0.3345,-0.09275,1.391,0.35725,-0.00625,-0.564,-0.24375
RAB23,0.451,0.0985,0.16325,0.47175,-1.53675,-0.9420000000000001,-0.79375,0.05275,0.439,0.055999999999999994,-0.6025,0.32725,-0.18600000000000003,-1.39425,-0.03075,-0.4875,0.80025,-0.195,0.25475,-0.05475,0.1455,-0.24175,-0.6445,-0.2415,-0.0595,0.00725,-0.40975,0.29075,0.94325,-0.13175,-1.11875,0.13225,-0.21075,-0.21325,0.94075,-0.5579999999999999,0.095,0.54075,0.02975,-0.33375,-0.33025,-1.044,0.05175,0.5735,0.86225,0.309,0.61125,0.49225,0.1575,0.0975,0.86575,-0.0395,0.568,1.41775,-1.3230000000000002,2.33625,0.23525,0.7505
MAML3,0.12025,-0.41475,0.117125,-0.302,0.545375,1.512125,0.659,0.2495,0.0955,-0.151625,-0.155,-0.0745,-0.12125,0.1295,0.18899999999999997,-0.214,0.027999999999999997,0.191875,-0.07675,0.114,-0.174625,0.058375,1.055375,-0.055,0.34600000000000003,0.21725,0.212875,0.133375,-0.092375,0.247125,0.012375,-0.11800000000000001,-0.186375,-0.15275,-0.3035,0.562875,0.25875,-0.053625,0.60225,0.07275,0.31425,-0.1845,0.228625,-0.036125,0.23225,0.158625,0.08175,-0.1015,-0.076125,-0.0244285714,0.134375,0.02625,0.307,0.06175,0.2111428571,-0.478285714285714,-0.0454285714285714,-0.27699999999999997
CASP3,0.3235,0.324666666666667,0.1215,0.9990000000000001,-0.6243333000000001,0.4431667,0.6468333,0.4013333,0.5366666667000001,1.18516666666667,-0.8798333333,0.85,0.0716666666666667,-0.1165,0.979666666666667,0.19083333333333302,0.799666666666667,0.059000000000000004,0.3328333,-0.0238333333333333,0.0855,0.597,0.751333333333333,1.121833,0.785333333333333,0.6248333,0.31416666670000004,-0.11133330000000001,0.684833333333333,0.619,0.4261667,0.2755,0.992666666666667,-0.4821666666666671,0.1661667,0.41116670000000005,0.523,0.3393333,0.7170000000000001,-0.2793333,0.602,-0.37966666670000004,0.078,0.330666666666667,0.19933333333333303,1.015333,0.20366666666666697,1.046,0.5175,0.5670000000000001,0.9168333332999999,0.3461666667,1.3775,-0.4606666666666671,0.6398333333,0.798166666666667,0.4065,0.316
GADD45G,0.9225,3.32,0.6144,1.3616,0.7173,2.4858,2.0161,1.3915,1.5015,1.3459,2.4436,1.8769999999999998,2.1687,2.3955,1.4736,1.5865,0.7466,2.0668,2.0117,2.7329,1.15911111111111,1.3151,2.1781,1.5763,2.1322,2.4836,1.5116,2.3904,1.9859,2.0583,1.4553,2.3866,1.4314,2.3276,0.6833,1.9771,0.9708,1.5166,2.141,3.0637,3.0729,2.1431,2.9101,1.3171,1.1899,1.6544,1.3873,1.7408,2.0835,1.036,1.6271,2.0257,3.2469,1.3963,0.9055,2.924,2.7239,0.7053
SP1,1.005375,1.53525,-0.1465,0.7835,1.223625,0.07200000000000001,0.8135,0.31225,1.287625,1.432,0.277125,0.7190000000000001,0.636,0.855875,1.141875,0.494375,0.294125,0.710875,0.77125,1.77025,1.581625,0.82825,1.619625,0.401,1.692,1.3095,1.3935,1.24725,0.76575,0.067,0.504375,0.32275,1.397875,0.937375,1.073375,0.468625,1.350125,0.95375,0.851625,-0.3155,1.413875,1.28525,1.45,1.591625,1.28475,0.938125,1.327125,1.183375,0.128875,1.072125,1.36025,0.971125,0.7695,0.78825,0.880125,0.776375,1.28225,0.80675
RRM2,-1.691625,-0.997625,-0.31125,-1.1265,-2.841875,-1.622625,-1.536875,-2.084875,-1.83325,-1.254875,-3.016625,-0.95275,-1.45875,-1.6725,-0.7275,-0.2165,-1.420125,-2.10075,-1.64975,-1.065125,-1.067375,-1.207875,-1.527625,-1.66125,-0.621875,-2.7535,-0.245625,-1.898125,-0.92025,0.396625,-1.040875,-1.536125,-0.067,-1.893875,-0.611625,-1.45425,-0.966625,-0.831125,-2.113625,-2.209875,-1.485,-0.643375,-1.371625,-0.506375,-0.5820000000000001,-1.86825,-0.456,-0.84875,-1.318125,-0.2995,-0.081375,-2.4525,-0.9890000000000001,0.121875,0.04725,-1.617125,-2.508875,-1.565
WNT2B,-0.0106666666666667,-0.595,0.5885,0.588666666666667,1.329167,0.0915,-0.6125,0.3758333,-0.3423333333,0.37200000000000005,0.711,-0.314666666666667,-0.666833333333333,-0.1731667,0.0541666666666667,-0.27933333333333304,-0.164166666666667,-0.0486666666666667,-0.564,0.116666666666667,-0.8262,0.1615,1.4578333333333302,-0.15116670000000001,0.615333333333333,0.6203333000000001,-0.24016666670000003,0.35700000000000004,-0.43799999999999994,-0.5405,-0.2718333,-0.4588333333333329,-0.102,-0.22433333333333302,-0.32166669999999997,0.1131667,0.4285,-0.304,-1.4918333333333302,-0.2496667,-0.9153333,1.0903333333,1.8348333333333302,0.7829999999999999,0.7515,-0.5966667,0.69,-0.757,-0.0418333333,-0.2815,-0.0468333333,0.5308333332999999,-0.557666666666667,0.5383333333333329,-0.2213333333,-0.872333333333333,-0.12166666666666699,-0.0628333333333333
FBXW11,-0.941333333333333,-0.5216666666666671,0.005333333000000001,-1.1025,-0.604,-0.9111667,-0.02233333,-0.6418333,-0.3055,-0.9631666666666671,-0.4226666667,-0.385,-0.956666666666667,-0.26,-0.1215,-0.9783333333333329,-0.9185,-1.0985,-1.1085,-0.6609999999999999,-0.501,-0.7768333000000001,-0.852833333333333,-0.8753333000000001,-0.325666666666667,-0.4435,-0.4865,-0.7755,-0.878,-0.37683333329999996,-0.41183329999999996,0.5565,-0.3805,-0.4978333333333329,-1.1085,-0.9431666999999999,-0.067,-0.797,0.22433333333333302,-0.9990000000000001,-0.3588333,-0.5315,-0.812166666666667,-1.0595,-0.923666666666667,-0.4968333,-1.285,-0.975,-1.5356666666999998,-1.0108333333,-0.7906666667,0.0043333333000000005,-0.996333333333333,-1.00233333333333,-1.4101666667,-0.47600000000000003,-0.9745,-1.02766666666667
AKT1S1,0.33225,-0.17875,-0.42425,-0.425,-0.18375,-0.898,-0.21600000000000003,0.18125,0.5005,-0.32299999999999995,1.09575,0.28325,0.15175,-0.17625,-0.0535,-0.61975,0.45,0.25825,0.11125,0.5015,0.1955,0.25175,0.162,0.12575,0.27725,-1.1425,-0.7285,-0.10575,0.408,-0.00975,0.41575,-1.047,0.93225,0.62025,0.9955,0.53725,0.50825,0.011000000000000001,-0.5920000000000001,0.01675,0.3585,0.54,0.28075,-1.31275,-0.8105,-0.0675,1.6965,-0.331,-0.10275,0.609,1.2195,0.32725,-0.7885,0.1515,0.49175,-0.4415,0.23775,-0.267
